"Provincia","Convivencia","Padre biológico","Sexo del menor","España/<1 año/Año 2013/Segundo","España/<1 año/Año 2021/Cuarto","España/1-2 años/Año 2017/Segundo","España/1-2 años/Año 2018/Tercero","España/1-2 años/Año 2021/Segundo","España/3-4 años/Año 2015/Primero","España/3-4 años/Año 2015/Tercero","España/3-4 años/Año 2020/Primero","España/5-6 años/Año 2013/Segundo","España/5-6 años/Año 2013/Tercero","España/5-6 años/Año 2017/Primero","España/5-6 años/Año 2018/Tercero","España/5-6 años/Año 2021/Segundo","España/7-8 años/Año 2014/Cuarto","España/7-8 años/Año 2017/Primero","España/7-8 años/Año 2018/Primero","España/7-8 años/Año 2023/Primero","España/9-10 años/Año 2013/Cuarto","España/9-10 años/Año 2014/Cuarto","España/9-10 años/Año 2015/Segundo","España/9-10 años/Año 2015/Tercero","España/9-10 años/Año 2020/Segundo","España/11-12 años/Año 2013/Segundo","España/11-12 años/Año 2017/Segundo","España/11-12 años/Año 2019/Tercero","España/11-12 años/Año 2021/Primero","España/11-12 años/Año 2022/Segundo","España/13-14 años/Año 2018/Primero","España/15-17 años/Año 2020/Segundo","Otro país/<1 año/Año 2015/Cuarto","Otro país/<1 año/Año 2016/Segundo","Otro país/<1 año/Año 2017/Cuarto","Otro país/1-2 años/Año 2014/Segundo","Otro país/1-2 años/Año 2017/Primero","Otro país/1-2 años/Año 2017/Cuarto","Otro país/1-2 años/Año 2021/Tercero","Otro país/3-4 años/Año 2013/Primero","Otro país/3-4 años/Año 2021/Cuarto","Otro país/5-6 años/Año 2022/Cuarto","Otro país/5-6 años/Año 2023/Cuarto","Otro país/7-8 años/Año 2015/Tercero","Otro país/7-8 años/Año 2018/Segundo","Otro país/7-8 años/Año 2021/Segundo","Otro país/9-10 años/Año 2019/Segundo","Otro país/11-12 años/Año 2015/Tercero","Otro país/11-12 años/Año 2017/Segundo","Otro país/15-17 años/Año 2019/Tercero"
"Almería","Sí","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","",""
"Almería","No","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
"Cádiz","Sí","Sí","Masculino","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jaén","Sí","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Málaga","Sí","No","Femenino","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Málaga","No","Sí","Masculino","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Málaga","No","Sí","Femenino","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Teruel","Sí","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Asturias","No","Sí","Masculino","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asturias","No consta","Sí","Masculino","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illes Balears","Sí","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","",""
"Santa Cruz de Tenerife","Sí","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","1.0","","",""
"Santa Cruz de Tenerife","Sí","Sí","Femenino","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz de Tenerife","No","Sí","Femenino","","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cantabria","No","Sí","Femenino","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valladolid","Sí","No","Femenino","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad Real","Sí","Sí","Masculino","1.0","","","","","","","","","","","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad Real","Sí","Sí","Femenino","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barcelona","Sí","Sí","Femenino","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Barcelona","No","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","1.0","",""
"Barcelona","No","Sí","Femenino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Alicante/Alacant","Sí","Sí","Femenino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Alicante/Alacant","No consta","No","Masculino","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Castellón/Castelló","Sí","Sí","Femenino","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Castellón/Castelló","No","Sí","Femenino","","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valencia/València","Sí","Sí","Femenino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Valencia/València","No","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"A Coruña","No","Sí","Masculino","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Pontevedra","No consta","Sí","Femenino","","","","","","","1.0","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madrid","Sí","Sí","Masculino","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","",""
