Nivel de formación alcanzado	Sexo	Comunidades y Ciudades Autónomas	Periodo	Total
Analfabetos	Hombres	01 Andalucía	2023T3	1,2
Analfabetos	Hombres	01 Andalucía	2023T2	1,4
Analfabetos	Hombres	01 Andalucía	2023T1	1,2
Analfabetos	Hombres	01 Andalucía	2022T4	1,5
Analfabetos	Hombres	01 Andalucía	2022T3	1,6
Analfabetos	Hombres	01 Andalucía	2022T2	1,6
Analfabetos	Hombres	01 Andalucía	2022T1	1,8
Analfabetos	Hombres	01 Andalucía	2021T4	2,0
Analfabetos	Hombres	01 Andalucía	2021T3	2,0
Analfabetos	Hombres	01 Andalucía	2021T2	1,9
Analfabetos	Hombres	01 Andalucía	2021T1	1,8
Analfabetos	Hombres	01 Andalucía	2020T4	1,9
Analfabetos	Hombres	01 Andalucía	2020T3	1,4
Analfabetos	Hombres	01 Andalucía	2020T2	1,5
Analfabetos	Hombres	01 Andalucía	2020T1	1,7
Analfabetos	Hombres	01 Andalucía	2019T4	1,5
Analfabetos	Hombres	01 Andalucía	2019T3	1,5
Analfabetos	Hombres	01 Andalucía	2019T2	1,6
Analfabetos	Hombres	01 Andalucía	2019T1	1,5
Analfabetos	Hombres	01 Andalucía	2018T4	1,6
Analfabetos	Hombres	01 Andalucía	2018T3	1,7
Analfabetos	Hombres	01 Andalucía	2018T2	1,8
Analfabetos	Hombres	01 Andalucía	2018T1	1,9
Analfabetos	Hombres	01 Andalucía	2017T4	1,8
Analfabetos	Hombres	01 Andalucía	2017T3	2,1
Analfabetos	Hombres	01 Andalucía	2017T2	2,1
Analfabetos	Hombres	01 Andalucía	2017T1	2,0
Analfabetos	Hombres	01 Andalucía	2016T4	1,8
Analfabetos	Hombres	01 Andalucía	2016T3	1,9
Analfabetos	Hombres	01 Andalucía	2016T2	1,9
Analfabetos	Hombres	01 Andalucía	2016T1	2,1
Analfabetos	Hombres	01 Andalucía	2015T4	2,1
Analfabetos	Hombres	01 Andalucía	2015T3	2,1
Analfabetos	Hombres	01 Andalucía	2015T2	2,3
Analfabetos	Hombres	01 Andalucía	2015T1	2,4
Analfabetos	Hombres	01 Andalucía	2014T4	2,5
Analfabetos	Hombres	01 Andalucía	2014T3	2,6
Analfabetos	Hombres	01 Andalucía	2014T2	2,8
Analfabetos	Hombres	01 Andalucía	2014T1	2,6
Analfabetos	Hombres	02 Aragón	2023T3	0,4
Analfabetos	Hombres	02 Aragón	2023T2	0,5
Analfabetos	Hombres	02 Aragón	2023T1	0,7
Analfabetos	Hombres	02 Aragón	2022T4	0,7
Analfabetos	Hombres	02 Aragón	2022T3	1,0
Analfabetos	Hombres	02 Aragón	2022T2	0,9
Analfabetos	Hombres	02 Aragón	2022T1	0,6
Analfabetos	Hombres	02 Aragón	2021T4	0,5
Analfabetos	Hombres	02 Aragón	2021T3	0,7
Analfabetos	Hombres	02 Aragón	2021T2	0,6
Analfabetos	Hombres	02 Aragón	2021T1	0,5
Analfabetos	Hombres	02 Aragón	2020T4	1,0
Analfabetos	Hombres	02 Aragón	2020T3	0,7
Analfabetos	Hombres	02 Aragón	2020T2	0,6
Analfabetos	Hombres	02 Aragón	2020T1	0,7
Analfabetos	Hombres	02 Aragón	2019T4	0,7
Analfabetos	Hombres	02 Aragón	2019T3	0,7
Analfabetos	Hombres	02 Aragón	2019T2	0,7
Analfabetos	Hombres	02 Aragón	2019T1	0,8
Analfabetos	Hombres	02 Aragón	2018T4	0,7
Analfabetos	Hombres	02 Aragón	2018T3	0,8
Analfabetos	Hombres	02 Aragón	2018T2	0,7
Analfabetos	Hombres	02 Aragón	2018T1	0,8
Analfabetos	Hombres	02 Aragón	2017T4	0,7
Analfabetos	Hombres	02 Aragón	2017T3	0,8
Analfabetos	Hombres	02 Aragón	2017T2	0,6
Analfabetos	Hombres	02 Aragón	2017T1	0,4
Analfabetos	Hombres	02 Aragón	2016T4	0,6
Analfabetos	Hombres	02 Aragón	2016T3	0,7
Analfabetos	Hombres	02 Aragón	2016T2	0,7
Analfabetos	Hombres	02 Aragón	2016T1	0,7
Analfabetos	Hombres	02 Aragón	2015T4	0,9
Analfabetos	Hombres	02 Aragón	2015T3	0,9
Analfabetos	Hombres	02 Aragón	2015T2	0,8
Analfabetos	Hombres	02 Aragón	2015T1	1,1
Analfabetos	Hombres	02 Aragón	2014T4	0,9
Analfabetos	Hombres	02 Aragón	2014T3	0,9
Analfabetos	Hombres	02 Aragón	2014T2	0,4
Analfabetos	Hombres	02 Aragón	2014T1	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2023T3	0,2
Analfabetos	Hombres	03 Asturias, Principado de	2023T2	0,3
Analfabetos	Hombres	03 Asturias, Principado de	2023T1	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2022T4	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2022T3	0,8
Analfabetos	Hombres	03 Asturias, Principado de	2022T2	1,0
Analfabetos	Hombres	03 Asturias, Principado de	2022T1	0,8
Analfabetos	Hombres	03 Asturias, Principado de	2021T4	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2021T3	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2021T2	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2021T1	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2020T4	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2020T3	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2020T2	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2020T1	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2019T4	0,3
Analfabetos	Hombres	03 Asturias, Principado de	2019T3	0,2
Analfabetos	Hombres	03 Asturias, Principado de	2019T2	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2019T1	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2018T4	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2018T3	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2018T2	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2018T1	0,7
Analfabetos	Hombres	03 Asturias, Principado de	2017T4	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2017T3	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2017T2	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2017T1	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2016T4	0,3
Analfabetos	Hombres	03 Asturias, Principado de	2016T3	0,3
Analfabetos	Hombres	03 Asturias, Principado de	2016T2	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2016T1	0,4
Analfabetos	Hombres	03 Asturias, Principado de	2015T4	0,5
Analfabetos	Hombres	03 Asturias, Principado de	2015T3	0,7
Analfabetos	Hombres	03 Asturias, Principado de	2015T2	0,9
Analfabetos	Hombres	03 Asturias, Principado de	2015T1	1,0
Analfabetos	Hombres	03 Asturias, Principado de	2014T4	0,7
Analfabetos	Hombres	03 Asturias, Principado de	2014T3	0,6
Analfabetos	Hombres	03 Asturias, Principado de	2014T2	0,7
Analfabetos	Hombres	03 Asturias, Principado de	2014T1	0,7
Analfabetos	Hombres	04 Balears, Illes	2023T3	0,8
Analfabetos	Hombres	04 Balears, Illes	2023T2	1,1
Analfabetos	Hombres	04 Balears, Illes	2023T1	0,6
Analfabetos	Hombres	04 Balears, Illes	2022T4	0,5
Analfabetos	Hombres	04 Balears, Illes	2022T3	1,1
Analfabetos	Hombres	04 Balears, Illes	2022T2	0,9
Analfabetos	Hombres	04 Balears, Illes	2022T1	1,1
Analfabetos	Hombres	04 Balears, Illes	2021T4	0,9
Analfabetos	Hombres	04 Balears, Illes	2021T3	0,9
Analfabetos	Hombres	04 Balears, Illes	2021T2	1,1
Analfabetos	Hombres	04 Balears, Illes	2021T1	1,2
Analfabetos	Hombres	04 Balears, Illes	2020T4	1,0
Analfabetos	Hombres	04 Balears, Illes	2020T3	1,4
Analfabetos	Hombres	04 Balears, Illes	2020T2	1,5
Analfabetos	Hombres	04 Balears, Illes	2020T1	1,0
Analfabetos	Hombres	04 Balears, Illes	2019T4	1,0
Analfabetos	Hombres	04 Balears, Illes	2019T3	1,5
Analfabetos	Hombres	04 Balears, Illes	2019T2	1,4
Analfabetos	Hombres	04 Balears, Illes	2019T1	1,0
Analfabetos	Hombres	04 Balears, Illes	2018T4	1,1
Analfabetos	Hombres	04 Balears, Illes	2018T3	1,5
Analfabetos	Hombres	04 Balears, Illes	2018T2	1,4
Analfabetos	Hombres	04 Balears, Illes	2018T1	1,1
Analfabetos	Hombres	04 Balears, Illes	2017T4	1,3
Analfabetos	Hombres	04 Balears, Illes	2017T3	1,0
Analfabetos	Hombres	04 Balears, Illes	2017T2	0,7
Analfabetos	Hombres	04 Balears, Illes	2017T1	0,9
Analfabetos	Hombres	04 Balears, Illes	2016T4	0,9
Analfabetos	Hombres	04 Balears, Illes	2016T3	1,3
Analfabetos	Hombres	04 Balears, Illes	2016T2	1,6
Analfabetos	Hombres	04 Balears, Illes	2016T1	1,6
Analfabetos	Hombres	04 Balears, Illes	2015T4	1,4
Analfabetos	Hombres	04 Balears, Illes	2015T3	1,4
Analfabetos	Hombres	04 Balears, Illes	2015T2	1,1
Analfabetos	Hombres	04 Balears, Illes	2015T1	0,9
Analfabetos	Hombres	04 Balears, Illes	2014T4	1,0
Analfabetos	Hombres	04 Balears, Illes	2014T3	1,4
Analfabetos	Hombres	04 Balears, Illes	2014T2	1,4
Analfabetos	Hombres	04 Balears, Illes	2014T1	1,5
Analfabetos	Hombres	05 Canarias	2023T3	0,7
Analfabetos	Hombres	05 Canarias	2023T2	0,7
Analfabetos	Hombres	05 Canarias	2023T1	0,9
Analfabetos	Hombres	05 Canarias	2022T4	0,9
Analfabetos	Hombres	05 Canarias	2022T3	1,2
Analfabetos	Hombres	05 Canarias	2022T2	1,3
Analfabetos	Hombres	05 Canarias	2022T1	1,5
Analfabetos	Hombres	05 Canarias	2021T4	1,6
Analfabetos	Hombres	05 Canarias	2021T3	1,9
Analfabetos	Hombres	05 Canarias	2021T2	1,8
Analfabetos	Hombres	05 Canarias	2021T1	1,7
Analfabetos	Hombres	05 Canarias	2020T4	1,7
Analfabetos	Hombres	05 Canarias	2020T3	1,3
Analfabetos	Hombres	05 Canarias	2020T2	1,2
Analfabetos	Hombres	05 Canarias	2020T1	1,1
Analfabetos	Hombres	05 Canarias	2019T4	1,0
Analfabetos	Hombres	05 Canarias	2019T3	0,9
Analfabetos	Hombres	05 Canarias	2019T2	0,9
Analfabetos	Hombres	05 Canarias	2019T1	0,9
Analfabetos	Hombres	05 Canarias	2018T4	1,4
Analfabetos	Hombres	05 Canarias	2018T3	1,4
Analfabetos	Hombres	05 Canarias	2018T2	1,4
Analfabetos	Hombres	05 Canarias	2018T1	1,5
Analfabetos	Hombres	05 Canarias	2017T4	1,7
Analfabetos	Hombres	05 Canarias	2017T3	1,7
Analfabetos	Hombres	05 Canarias	2017T2	1,6
Analfabetos	Hombres	05 Canarias	2017T1	1,4
Analfabetos	Hombres	05 Canarias	2016T4	1,7
Analfabetos	Hombres	05 Canarias	2016T3	1,9
Analfabetos	Hombres	05 Canarias	2016T2	1,7
Analfabetos	Hombres	05 Canarias	2016T1	1,6
Analfabetos	Hombres	05 Canarias	2015T4	2,0
Analfabetos	Hombres	05 Canarias	2015T3	1,9
Analfabetos	Hombres	05 Canarias	2015T2	2,1
Analfabetos	Hombres	05 Canarias	2015T1	1,8
Analfabetos	Hombres	05 Canarias	2014T4	1,3
Analfabetos	Hombres	05 Canarias	2014T3	1,5
Analfabetos	Hombres	05 Canarias	2014T2	2,1
Analfabetos	Hombres	05 Canarias	2014T1	2,4
Analfabetos	Hombres	06 Cantabria	2023T3	0,2
Analfabetos	Hombres	06 Cantabria	2023T2	0,3
Analfabetos	Hombres	06 Cantabria	2023T1	0,3
Analfabetos	Hombres	06 Cantabria	2022T4	0,6
Analfabetos	Hombres	06 Cantabria	2022T3	0,3
Analfabetos	Hombres	06 Cantabria	2022T2	0,3
Analfabetos	Hombres	06 Cantabria	2022T1	0,3
Analfabetos	Hombres	06 Cantabria	2021T4	0,2
Analfabetos	Hombres	06 Cantabria	2021T3	0,2
Analfabetos	Hombres	06 Cantabria	2021T2	0,3
Analfabetos	Hombres	06 Cantabria	2021T1	0,3
Analfabetos	Hombres	06 Cantabria	2020T4	0,4
Analfabetos	Hombres	06 Cantabria	2020T3	0,3
Analfabetos	Hombres	06 Cantabria	2020T2	0,5
Analfabetos	Hombres	06 Cantabria	2020T1	0,5
Analfabetos	Hombres	06 Cantabria	2019T4	0,2
Analfabetos	Hombres	06 Cantabria	2019T3	0,1
Analfabetos	Hombres	06 Cantabria	2019T2	0,4
Analfabetos	Hombres	06 Cantabria	2019T1	0,4
Analfabetos	Hombres	06 Cantabria	2018T4	0,2
Analfabetos	Hombres	06 Cantabria	2018T3	0,2
Analfabetos	Hombres	06 Cantabria	2018T2	0,4
Analfabetos	Hombres	06 Cantabria	2018T1	0,5
Analfabetos	Hombres	06 Cantabria	2017T4	0,6
Analfabetos	Hombres	06 Cantabria	2017T3	0,5
Analfabetos	Hombres	06 Cantabria	2017T2	0,4
Analfabetos	Hombres	06 Cantabria	2017T1	0,3
Analfabetos	Hombres	06 Cantabria	2016T4	0,2
Analfabetos	Hombres	06 Cantabria	2016T3	0,2
Analfabetos	Hombres	06 Cantabria	2016T2	0,3
Analfabetos	Hombres	06 Cantabria	2016T1	0,4
Analfabetos	Hombres	06 Cantabria	2015T4	0,4
Analfabetos	Hombres	06 Cantabria	2015T3	0,3
Analfabetos	Hombres	06 Cantabria	2015T2	0,6
Analfabetos	Hombres	06 Cantabria	2015T1	0,7
Analfabetos	Hombres	06 Cantabria	2014T4	0,4
Analfabetos	Hombres	06 Cantabria	2014T3	0,3
Analfabetos	Hombres	06 Cantabria	2014T2	0,2
Analfabetos	Hombres	06 Cantabria	2014T1	0,3
Analfabetos	Hombres	07 Castilla y León	2023T3	0,4
Analfabetos	Hombres	07 Castilla y León	2023T2	0,6
Analfabetos	Hombres	07 Castilla y León	2023T1	0,6
Analfabetos	Hombres	07 Castilla y León	2022T4	0,6
Analfabetos	Hombres	07 Castilla y León	2022T3	0,6
Analfabetos	Hombres	07 Castilla y León	2022T2	0,7
Analfabetos	Hombres	07 Castilla y León	2022T1	0,5
Analfabetos	Hombres	07 Castilla y León	2021T4	0,5
Analfabetos	Hombres	07 Castilla y León	2021T3	0,5
Analfabetos	Hombres	07 Castilla y León	2021T2	0,5
Analfabetos	Hombres	07 Castilla y León	2021T1	0,4
Analfabetos	Hombres	07 Castilla y León	2020T4	0,6
Analfabetos	Hombres	07 Castilla y León	2020T3	0,5
Analfabetos	Hombres	07 Castilla y León	2020T2	0,5
Analfabetos	Hombres	07 Castilla y León	2020T1	0,5
Analfabetos	Hombres	07 Castilla y León	2019T4	0,6
Analfabetos	Hombres	07 Castilla y León	2019T3	0,7
Analfabetos	Hombres	07 Castilla y León	2019T2	0,4
Analfabetos	Hombres	07 Castilla y León	2019T1	0,6
Analfabetos	Hombres	07 Castilla y León	2018T4	0,6
Analfabetos	Hombres	07 Castilla y León	2018T3	0,7
Analfabetos	Hombres	07 Castilla y León	2018T2	0,7
Analfabetos	Hombres	07 Castilla y León	2018T1	0,8
Analfabetos	Hombres	07 Castilla y León	2017T4	0,9
Analfabetos	Hombres	07 Castilla y León	2017T3	0,8
Analfabetos	Hombres	07 Castilla y León	2017T2	0,8
Analfabetos	Hombres	07 Castilla y León	2017T1	0,9
Analfabetos	Hombres	07 Castilla y León	2016T4	0,9
Analfabetos	Hombres	07 Castilla y León	2016T3	0,8
Analfabetos	Hombres	07 Castilla y León	2016T2	0,7
Analfabetos	Hombres	07 Castilla y León	2016T1	0,7
Analfabetos	Hombres	07 Castilla y León	2015T4	0,7
Analfabetos	Hombres	07 Castilla y León	2015T3	0,9
Analfabetos	Hombres	07 Castilla y León	2015T2	0,9
Analfabetos	Hombres	07 Castilla y León	2015T1	0,7
Analfabetos	Hombres	07 Castilla y León	2014T4	0,6
Analfabetos	Hombres	07 Castilla y León	2014T3	0,6
Analfabetos	Hombres	07 Castilla y León	2014T2	0,6
Analfabetos	Hombres	07 Castilla y León	2014T1	0,7
Analfabetos	Hombres	08 Castilla - La Mancha	2023T3	0,9
Analfabetos	Hombres	08 Castilla - La Mancha	2023T2	0,9
Analfabetos	Hombres	08 Castilla - La Mancha	2023T1	1,0
Analfabetos	Hombres	08 Castilla - La Mancha	2022T4	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2022T3	0,6
Analfabetos	Hombres	08 Castilla - La Mancha	2022T2	1,3
Analfabetos	Hombres	08 Castilla - La Mancha	2022T1	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2021T4	1,3
Analfabetos	Hombres	08 Castilla - La Mancha	2021T3	1,0
Analfabetos	Hombres	08 Castilla - La Mancha	2021T2	1,1
Analfabetos	Hombres	08 Castilla - La Mancha	2021T1	1,1
Analfabetos	Hombres	08 Castilla - La Mancha	2020T4	1,1
Analfabetos	Hombres	08 Castilla - La Mancha	2020T3	1,1
Analfabetos	Hombres	08 Castilla - La Mancha	2020T2	1,2
Analfabetos	Hombres	08 Castilla - La Mancha	2020T1	1,3
Analfabetos	Hombres	08 Castilla - La Mancha	2019T4	1,6
Analfabetos	Hombres	08 Castilla - La Mancha	2019T3	1,6
Analfabetos	Hombres	08 Castilla - La Mancha	2019T2	1,3
Analfabetos	Hombres	08 Castilla - La Mancha	2019T1	1,3
Analfabetos	Hombres	08 Castilla - La Mancha	2018T4	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2018T3	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2018T2	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2018T1	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2017T4	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2017T3	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2017T2	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2017T1	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2016T4	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2016T3	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2016T2	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2016T1	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2015T4	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2015T3	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2015T2	1,5
Analfabetos	Hombres	08 Castilla - La Mancha	2015T1	1,4
Analfabetos	Hombres	08 Castilla - La Mancha	2014T4	1,6
Analfabetos	Hombres	08 Castilla - La Mancha	2014T3	1,6
Analfabetos	Hombres	08 Castilla - La Mancha	2014T2	1,6
Analfabetos	Hombres	08 Castilla - La Mancha	2014T1	1,6
Analfabetos	Hombres	09 Cataluña	2023T3	0,8
Analfabetos	Hombres	09 Cataluña	2023T2	0,9
Analfabetos	Hombres	09 Cataluña	2023T1	0,9
Analfabetos	Hombres	09 Cataluña	2022T4	1,0
Analfabetos	Hombres	09 Cataluña	2022T3	0,9
Analfabetos	Hombres	09 Cataluña	2022T2	0,9
Analfabetos	Hombres	09 Cataluña	2022T1	1,1
Analfabetos	Hombres	09 Cataluña	2021T4	1,1
Analfabetos	Hombres	09 Cataluña	2021T3	1,0
Analfabetos	Hombres	09 Cataluña	2021T2	0,9
Analfabetos	Hombres	09 Cataluña	2021T1	0,9
Analfabetos	Hombres	09 Cataluña	2020T4	0,7
Analfabetos	Hombres	09 Cataluña	2020T3	0,9
Analfabetos	Hombres	09 Cataluña	2020T2	0,8
Analfabetos	Hombres	09 Cataluña	2020T1	0,8
Analfabetos	Hombres	09 Cataluña	2019T4	0,8
Analfabetos	Hombres	09 Cataluña	2019T3	0,8
Analfabetos	Hombres	09 Cataluña	2019T2	0,9
Analfabetos	Hombres	09 Cataluña	2019T1	0,9
Analfabetos	Hombres	09 Cataluña	2018T4	0,9
Analfabetos	Hombres	09 Cataluña	2018T3	0,9
Analfabetos	Hombres	09 Cataluña	2018T2	0,8
Analfabetos	Hombres	09 Cataluña	2018T1	0,7
Analfabetos	Hombres	09 Cataluña	2017T4	0,8
Analfabetos	Hombres	09 Cataluña	2017T3	0,7
Analfabetos	Hombres	09 Cataluña	2017T2	0,9
Analfabetos	Hombres	09 Cataluña	2017T1	1,1
Analfabetos	Hombres	09 Cataluña	2016T4	1,0
Analfabetos	Hombres	09 Cataluña	2016T3	1,1
Analfabetos	Hombres	09 Cataluña	2016T2	1,0
Analfabetos	Hombres	09 Cataluña	2016T1	1,0
Analfabetos	Hombres	09 Cataluña	2015T4	0,9
Analfabetos	Hombres	09 Cataluña	2015T3	0,9
Analfabetos	Hombres	09 Cataluña	2015T2	1,1
Analfabetos	Hombres	09 Cataluña	2015T1	1,1
