Sexo	Total Nacional	Comunidades y Ciudades Autónomas	Tipo de indicador	Total
VARONES	Total	Andalucía	Media	1,13
VARONES	Total	Aragón	Media	0,85
VARONES	Total	Asturias (Principado de)	Media	1,16
VARONES	Total	Balears (Illes)	Media	1,40
VARONES	Total	Canarias	Media	1,42
VARONES	Total	Cantabria	Media	0,66
VARONES	Total	Castilla y León	Media	0,84
VARONES	Total	Castilla-La Mancha	Media	0,93
VARONES	Total	Cataluña	Media	1,38
VARONES	Total	Comunitat Valenciana	Media	1,26
VARONES	Total	Extremadura	Media	0,95
VARONES	Total	Galicia	Media	1,10
VARONES	Total	Madrid (Comunidad de)	Media	1,40
VARONES	Total	Murcia (Región de)	Media	1,12
VARONES	Total	Navarra (Comunidad Foral de)	Media	1,44
VARONES	Total	País Vasco	Media	0,77
VARONES	Total	Rioja (La)	Media	0,78
VARONES	Ceuta y Melilla		Media	1,21
MUJERES	Total	Andalucía	Media	1,74
MUJERES	Total	Aragón	Media	1,62
MUJERES	Total	Asturias (Principado de)	Media	2,22
MUJERES	Total	Balears (Illes)	Media	2,12
MUJERES	Total	Canarias	Media	2,36
MUJERES	Total	Cantabria	Media	1,14
MUJERES	Total	Castilla y León	Media	1,32
MUJERES	Total	Castilla-La Mancha	Media	1,52
MUJERES	Total	Cataluña	Media	1,86
MUJERES	Total	Comunitat Valenciana	Media	2,06
MUJERES	Total	Extremadura	Media	1,78
MUJERES	Total	Galicia	Media	2,02
MUJERES	Total	Madrid (Comunidad de)	Media	2,01
MUJERES	Total	Murcia (Región de)	Media	1,87
MUJERES	Total	Navarra (Comunidad Foral de)	Media	2,20
MUJERES	Total	País Vasco	Media	1,42
MUJERES	Total	Rioja (La)	Media	0,97
MUJERES	Ceuta y Melilla		Media	2,02
