Sexo	Total Nacional	Comunidades y Ciudades Autónomas	Indicador	Total
HOMBRES	Total	Andalucía	Media	1,52
HOMBRES	Total	Aragón	Media	0,71
HOMBRES	Total	Asturias, Principado de	Media	1,27
HOMBRES	Total	Balears, Illes	Media	0,90
HOMBRES	Total	Canarias	Media	0,84
HOMBRES	Total	Cantabria	Media	0,66
HOMBRES	Total	Castilla y León	Media	1,19
HOMBRES	Total	Castilla-La Mancha	Media	0,79
HOMBRES	Total	Cataluña	Media	0,92
HOMBRES	Total	Comunitat Valenciana	Media	1,28
HOMBRES	Total	Extremadura	Media	0,41
HOMBRES	Total	Galicia	Media	0,53
HOMBRES	Total	Madrid, Comunidad de	Media	0,97
HOMBRES	Total	Murcia, Región de	Media	2,08
HOMBRES	Total	Navarra, Comunidad Foral de	Media	1,22
HOMBRES	Total	País Vasco	Media	1,11
HOMBRES	Total	Rioja, La	Media	0,65
HOMBRES	Total	Ceuta	Media	0,73
HOMBRES	Total	Melilla	Media	1,67
MUJERES	Total	Andalucía	Media	2,30
MUJERES	Total	Aragón	Media	1,14
MUJERES	Total	Asturias, Principado de	Media	1,70
MUJERES	Total	Balears, Illes	Media	1,10
MUJERES	Total	Canarias	Media	1,34
MUJERES	Total	Cantabria	Media	1,15
MUJERES	Total	Castilla y León	Media	1,50
MUJERES	Total	Castilla-La Mancha	Media	1,33
MUJERES	Total	Cataluña	Media	1,49
MUJERES	Total	Comunitat Valenciana	Media	1,86
MUJERES	Total	Extremadura	Media	0,77
MUJERES	Total	Galicia	Media	0,92
MUJERES	Total	Madrid, Comunidad de	Media	1,43
MUJERES	Total	Murcia, Región de	Media	2,40
MUJERES	Total	Navarra, Comunidad Foral de	Media	1,89
MUJERES	Total	País Vasco	Media	1,60
MUJERES	Total	Rioja, La	Media	1,14
MUJERES	Total	Ceuta	Media	0,63
MUJERES	Total	Melilla	Media	2,29
