Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Delitos;Andalucía;2022;9.955
Delitos;Andalucía;2021;9.260
Delitos;Andalucía;2020;7.103
Delitos;Andalucía;2019;8.539
Delitos;Andalucía;2018;7.856
Delitos;Andalucía;2017;7.539
Delitos;Andalucía;2016;6.734
Delitos;Andalucía;2015;5.592
Delitos;Aragón;2022;1.297
Delitos;Aragón;2021;1.153
Delitos;Aragón;2020;907
Delitos;Aragón;2019;1.021
Delitos;Aragón;2018;1.027
Delitos;Aragón;2017;951
Delitos;Aragón;2016;833
Delitos;Aragón;2015;552
Delitos;Asturias, Principado de;2022;1.304
Delitos;Asturias, Principado de;2021;1.063
Delitos;Asturias, Principado de;2020;700
Delitos;Asturias, Principado de;2019;969
Delitos;Asturias, Principado de;2018;896
Delitos;Asturias, Principado de;2017;879
Delitos;Asturias, Principado de;2016;801
Delitos;Asturias, Principado de;2015;628
Delitos;Balears, Illes;2022;1.821
Delitos;Balears, Illes;2021;1.803
Delitos;Balears, Illes;2020;1.360
Delitos;Balears, Illes;2019;1.849
Delitos;Balears, Illes;2018;1.554
Delitos;Balears, Illes;2017;1.596
Delitos;Balears, Illes;2016;1.603
Delitos;Balears, Illes;2015;1.092
Delitos;Canarias;2022;3.728
Delitos;Canarias;2021;3.550
Delitos;Canarias;2020;2.888
Delitos;Canarias;2019;3.225
Delitos;Canarias;2018;2.866
Delitos;Canarias;2017;2.668
Delitos;Canarias;2016;2.463
Delitos;Canarias;2015;1.971
Delitos;Cantabria;2022;625
Delitos;Cantabria;2021;541
Delitos;Cantabria;2020;445
Delitos;Cantabria;2019;535
Delitos;Cantabria;2018;595
Delitos;Cantabria;2017;440
Delitos;Cantabria;2016;384
Delitos;Cantabria;2015;326
Delitos;Castilla y León;2022;2.075
Delitos;Castilla y León;2021;1.810
Delitos;Castilla y León;2020;1.215
Delitos;Castilla y León;2019;1.590
Delitos;Castilla y León;2018;1.480
Delitos;Castilla y León;2017;1.469
Delitos;Castilla y León;2016;1.398
Delitos;Castilla y León;2015;1.223
Delitos;Castilla - La Mancha;2022;1.947
Delitos;Castilla - La Mancha;2021;1.749
Delitos;Castilla - La Mancha;2020;1.232
Delitos;Castilla - La Mancha;2019;1.548
Delitos;Castilla - La Mancha;2018;1.461
Delitos;Castilla - La Mancha;2017;1.404
Delitos;Castilla - La Mancha;2016;1.395
Delitos;Castilla - La Mancha;2015;1.255
Delitos;Cataluña;2022;5.967
Delitos;Cataluña;2021;5.605
Delitos;Cataluña;2020;4.039
Delitos;Cataluña;2019;4.644
Delitos;Cataluña;2018;4.314
Delitos;Cataluña;2017;4.030
Delitos;Cataluña;2016;4.043
Delitos;Cataluña;2015;3.459
Delitos;Comunitat Valenciana;2022;7.734
Delitos;Comunitat Valenciana;2021;6.944
Delitos;Comunitat Valenciana;2020;5.287
Delitos;Comunitat Valenciana;2019;6.290
Delitos;Comunitat Valenciana;2018;5.633
Delitos;Comunitat Valenciana;2017;5.427
Delitos;Comunitat Valenciana;2016;4.978
Delitos;Comunitat Valenciana;2015;4.151
Delitos;Extremadura;2022;1.310
Delitos;Extremadura;2021;1.171
Delitos;Extremadura;2020;940
Delitos;Extremadura;2019;960
Delitos;Extremadura;2018;814
Delitos;Extremadura;2017;857
Delitos;Extremadura;2016;832
Delitos;Extremadura;2015;754
Delitos;Galicia;2022;2.381
Delitos;Galicia;2021;2.093
Delitos;Galicia;2020;1.555
Delitos;Galicia;2019;1.914
Delitos;Galicia;2018;1.712
Delitos;Galicia;2017;1.585
Delitos;Galicia;2016;1.381
Delitos;Galicia;2015;1.263
Delitos;Madrid, Comunidad de;2022;5.033
Delitos;Madrid, Comunidad de;2021;4.295
Delitos;Madrid, Comunidad de;2020;3.029
Delitos;Madrid, Comunidad de;2019;3.963
Delitos;Madrid, Comunidad de;2018;3.405
Delitos;Madrid, Comunidad de;2017;3.385
Delitos;Madrid, Comunidad de;2016;3.047
Delitos;Madrid, Comunidad de;2015;2.802
Delitos;Murcia, Región de;2022;2.570
Delitos;Murcia, Región de;2021;2.277
