Provincias	Sexo	Periodo	Total
02 Albacete	Hombres	2021	193.205
02 Albacete	Hombres	2020	194.081
02 Albacete	Hombres	2019	193.911
02 Albacete	Hombres	2018	194.158
02 Albacete	Hombres	2017	194.743
02 Albacete	Hombres	2016	195.841
02 Albacete	Hombres	2015	197.014
02 Albacete	Hombres	2014	198.230
02 Albacete	Hombres	2013	200.016
02 Albacete	Hombres	2012	201.640
02 Albacete	Hombres	2011	201.400
02 Albacete	Hombres	2010	201.396
02 Albacete	Hombres	2009	201.162
02 Albacete	Hombres	2008	199.820
02 Albacete	Hombres	2007	196.772
02 Albacete	Mujeres	2021	193.259
02 Albacete	Mujeres	2020	194.189
02 Albacete	Mujeres	2019	194.256
02 Albacete	Mujeres	2018	194.628
02 Albacete	Mujeres	2017	195.289
02 Albacete	Mujeres	2016	196.277
02 Albacete	Mujeres	2015	197.566
02 Albacete	Mujeres	2014	198.757
02 Albacete	Mujeres	2013	199.991
02 Albacete	Mujeres	2012	201.197
02 Albacete	Mujeres	2011	200.918
02 Albacete	Mujeres	2010	200.286
02 Albacete	Mujeres	2009	199.729
02 Albacete	Mujeres	2008	197.673
02 Albacete	Mujeres	2007	195.338
03 Alicante/Alacant	Hombres	2021	932.018
03 Alicante/Alacant	Hombres	2020	931.856
03 Alicante/Alacant	Hombres	2019	920.915
03 Alicante/Alacant	Hombres	2018	911.097
03 Alicante/Alacant	Hombres	2017	904.711
03 Alicante/Alacant	Hombres	2016	911.173
03 Alicante/Alacant	Hombres	2015	920.920
03 Alicante/Alacant	Hombres	2014	928.519
03 Alicante/Alacant	Hombres	2013	968.927
03 Alicante/Alacant	Hombres	2012	969.237
03 Alicante/Alacant	Hombres	2011	964.560
03 Alicante/Alacant	Hombres	2010	961.733
03 Alicante/Alacant	Hombres	2009	958.200
03 Alicante/Alacant	Hombres	2008	947.523
03 Alicante/Alacant	Hombres	2007	913.455
03 Alicante/Alacant	Mujeres	2021	949.744
03 Alicante/Alacant	Mujeres	2020	948.032
03 Alicante/Alacant	Mujeres	2019	937.768
03 Alicante/Alacant	Mujeres	2018	927.722
03 Alicante/Alacant	Mujeres	2017	920.621
03 Alicante/Alacant	Mujeres	2016	925.286
03 Alicante/Alacant	Mujeres	2015	934.127
03 Alicante/Alacant	Mujeres	2014	939.919
03 Alicante/Alacant	Mujeres	2013	976.715
03 Alicante/Alacant	Mujeres	2012	974.673
03 Alicante/Alacant	Mujeres	2011	969.567
03 Alicante/Alacant	Mujeres	2010	964.552
03 Alicante/Alacant	Mujeres	2009	958.812
03 Alicante/Alacant	Mujeres	2008	943.954
03 Alicante/Alacant	Mujeres	2007	911.809
04 Almería	Hombres	2021	373.136
04 Almería	Hombres	2020	371.558
04 Almería	Hombres	2019	365.701
04 Almería	Hombres	2018	361.319
04 Almería	Hombres	2017	359.676
04 Almería	Hombres	2016	358.223
04 Almería	Hombres	2015	356.058
04 Almería	Hombres	2014	356.663
04 Almería	Hombres	2013	355.658
04 Almería	Hombres	2012	359.547
04 Almería	Hombres	2011	361.189
04 Almería	Hombres	2010	358.112
04 Almería	Hombres	2009	352.395
04 Almería	Hombres	2008	343.716
04 Almería	Hombres	2007	333.227
04 Almería	Mujeres	2021	358.656
04 Almería	Mujeres	2020	356.387
04 Almería	Mujeres	2019	351.119
04 Almería	Mujeres	2018	348.021
04 Almería	Mujeres	2017	346.996
04 Almería	Mujeres	2016	346.074
04 Almería	Mujeres	2015	345.153
04 Almería	Mujeres	2014	345.025
04 Almería	Mujeres	2013	343.671
04 Almería	Mujeres	2012	344.672
04 Almería	Mujeres	2011	341.630
04 Almería	Mujeres	2010	337.448
04 Almería	Mujeres	2009	332.031
04 Almería	Mujeres	2008	323.919
04 Almería	Mujeres	2007	313.406
01 Araba/Álava	Hombres	2021	164.252
01 Araba/Álava	Hombres	2020	164.524
01 Araba/Álava	Hombres	2019	163.499
01 Araba/Álava	Hombres	2018	162.175
01 Araba/Álava	Hombres	2017	161.354
01 Araba/Álava	Hombres	2016	160.240
01 Araba/Álava	Hombres	2015	160.294
01 Araba/Álava	Hombres	2014	159.583
01 Araba/Álava	Hombres	2013	159.622
01 Araba/Álava	Hombres	2012	160.649
01 Araba/Álava	Hombres	2011	159.041
01 Araba/Álava	Hombres	2010	158.322
01 Araba/Álava	Hombres	2009	156.418
01 Araba/Álava	Hombres	2008	154.376
01 Araba/Álava	Hombres	2007	152.040
01 Araba/Álava	Mujeres	2021	169.374
01 Araba/Álava	Mujeres	2020	169.416
01 Araba/Álava	Mujeres	2019	168.050
01 Araba/Álava	Mujeres	2018	166.693
01 Araba/Álava	Mujeres	2017	165.220
01 Araba/Álava	Mujeres	2016	163.886
01 Araba/Álava	Mujeres	2015	163.354
01 Araba/Álava	Mujeres	2014	162.349
01 Araba/Álava	Mujeres	2013	161.795
01 Araba/Álava	Mujeres	2012	161.908
01 Araba/Álava	Mujeres	2011	160.186
01 Araba/Álava	Mujeres	2010	159.030
01 Araba/Álava	Mujeres	2009	157.401
01 Araba/Álava	Mujeres	2008	155.259
01 Araba/Álava	Mujeres	2007	153.419
33 Asturias	Hombres	2021	482.665
33 Asturias	Hombres	2020	486.066
33 Asturias	Hombres	2019	488.137
33 Asturias	Hombres	2018	490.738
33 Asturias	Hombres	2017	493.911
33 Asturias	Hombres	2016	497.852
33 Asturias	Hombres	2015	502.175
33 Asturias	Hombres	2014	507.927
33 Asturias	Hombres	2013	511.346
33 Asturias	Hombres	2012	516.420
33 Asturias	Hombres	2011	518.571
33 Asturias	Hombres	2010	520.402
33 Asturias	Hombres	2009	520.916
33 Asturias	Hombres	2008	518.291
33 Asturias	Hombres	2007	515.292
33 Asturias	Mujeres	2021	529.127
33 Asturias	Mujeres	2020	532.718
33 Asturias	Mujeres	2019	534.663
33 Asturias	Mujeres	2018	537.506
33 Asturias	Mujeres	2017	541.049
33 Asturias	Mujeres	2016	544.756
33 Asturias	Mujeres	2015	549.054
33 Asturias	Mujeres	2014	553.829
33 Asturias	Mujeres	2013	556.819
33 Asturias	Mujeres	2012	560.940
33 Asturias	Mujeres	2011	562.916
33 Asturias	Mujeres	2010	563.939
33 Asturias	Mujeres	2009	564.373
33 Asturias	Mujeres	2008	561.847
33 Asturias	Mujeres	2007	559.570
05 Ávila	Hombres	2021	79.562
05 Ávila	Hombres	2020	79.109
05 Ávila	Hombres	2019	79.071
05 Ávila	Hombres	2018	79.538
05 Ávila	Hombres	2017	80.674
05 Ávila	Hombres	2016	81.630
05 Ávila	Hombres	2015	82.880
05 Ávila	Hombres	2014	83.998
05 Ávila	Hombres	2013	85.025
05 Ávila	Hombres	2012	86.434
05 Ávila	Hombres	2011	87.085
05 Ávila	Hombres	2010	86.728
05 Ávila	Hombres	2009	86.720
05 Ávila	Hombres	2008	86.836
05 Ávila	Hombres	2007	84.897
05 Ávila	Mujeres	2021	78.859
05 Ávila	Mujeres	2020	78.555
05 Ávila	Mujeres	2019	78.569
05 Ávila	Mujeres	2018	78.960
05 Ávila	Mujeres	2017	80.026
05 Ávila	Mujeres	2016	80.884
