"Año","Mes","Pareja - Expareja","Convivencia","Denuncia agresor","Suicidio","Tramo de edad Agresor","Tramo de edad Víctima","País de nacimiento Agresor","País de nacimiento Víctima","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla"
"Año 2003","Enero","Expareja","No","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","No hubo tentativa","51-60 años","41-50 años","España","España","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","No consta","No consta","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","Suicidio consumado","51-60 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja","Sí","No consta denuncia","Suicidio consumado","71-84 años","71-84 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Enero","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","No consta","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Febrero","Expareja","No","No consta denuncia","No hubo tentativa","31-40 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2003","Febrero","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2003","Febrero","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","71-84 años","España","España","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Febrero","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","Expareja","No","No consta denuncia","No hubo tentativa","No consta","21-30 años","España","España","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","Expareja","No","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","Pareja","Sí","No consta denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2003","Marzo","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Marzo","Pareja","Sí","No consta denuncia","Suicidio consumado","51-60 años","31-40 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Marzo","Pareja","Sí","No consta denuncia","Suicidio consumado","No consta","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2003","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","21-30 años","21-30 años","España","España","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2003","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","No consta","España","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2003","Abril","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Mayo","Expareja","No","No consta denuncia","No hubo tentativa","No consta","41-50 años","No consta","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2003","Mayo","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","Otro país","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Mayo","Pareja","Sí","No consta denuncia","Suicidio consumado","No consta","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2003","Mayo","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","España","España","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Mayo","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Expareja","No","No consta denuncia","Suicidio consumado","No consta","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2003","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","No consta","España","España","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Junio","Pareja","Sí","No consta denuncia","Tentativa no consumada","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2003","Junio","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0",""
"Año 2003","Julio","Expareja","No","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2003","Julio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","No consta","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja","Sí","No consta denuncia","Suicidio consumado","No consta","41-50 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja","Sí","No consta denuncia","Tentativa no consumada","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja","Sí","No consta denuncia","Tentativa no consumada","31-40 años","No consta","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Julio","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Agosto","Expareja","No","No consta denuncia","No hubo tentativa","No consta","18-20 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Expareja","No","No consta denuncia","No hubo tentativa","No consta","31-40 años","No consta","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","No consta","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","Tentativa no consumada","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","Tentativa no consumada","51-60 años","51-60 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
