provincia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
albacete,2,0,0,2,1,1,0,1,0,1,1,3
alicante,2,0,1,3,0,1,0,1,0,1,1,2
almeria,2,1,0,2,1,0,0,1,0,1,1,3
avila,2,0,0,3,1,0,0,1,0,1,1,3
badajoz,2,0,0,2,1,0,0,1,1,1,1,3
barcelona,2,0,0,2,0,2,0,1,0,1,1,3
bilbao,2,0,0,3,0,0,1,1,1,1,1,2
burgos,2,0,0,3,1,0,0,1,0,1,1,3
caceres,2,0,0,2,1,0,0,1,1,1,1,3
cadiz,2,1,0,2,1,0,0,1,0,1,1,3
castellon,2,0,1,3,0,1,0,1,0,1,1,2
ceuta,2,0,0,2,0,0,1,2,1,1,1,2
ciudad real,2,0,0,2,1,1,0,1,0,1,1,3
cordoba,2,1,0,2,1,0,0,1,0,1,1,3
coruna,2,0,0,2,1,1,1,1,0,1,1,2
cuenca,2,0,0,2,1,1,0,1,0,1,1,3
girona,2,0,0,2,0,2,0,1,0,1,1,3
granada,2,1,0,2,1,0,0,1,0,1,1,3
guadalajara,2,0,0,2,1,1,0,1,0,1,1,3
huelva,2,1,0,2,1,0,0,1,0,1,1,3
huesca,2,0,0,3,1,0,0,1,0,1,1,3
jaen,2,1,0,2,1,0,0,1,0,1,1,3
leon,2,0,0,3,1,0,0,1,0,1,1,3
lleida,2,0,0,2,0,2,0,1,0,1,1,3
logrono,2,0,0,3,0,1,0,1,0,1,1,3
lugo,2,0,0,2,1,1,1,1,0,1,1,2
madrid,2,0,0,2,1,0,1,1,0,1,1,3
malaga,2,1,0,2,1,0,0,1,0,1,1,3
melilla,2,0,0,2,1,0,1,1,0,1,1,3
murcia,2,0,0,2,1,1,0,1,0,1,1,3
ourense,2,0,0,2,1,1,1,1,0,1,1,2
oviedo,2,0,0,2,1,0,0,1,1,1,1,3
palencia,2,0,0,3,1,0,0,1,0,1,1,3
p. mallorca,2,0,1,3,0,0,0,1,0,1,1,3
palmas,2,0,0,2,1,0,0,1,0,2,1,3
pamplona,2,0,0,3,0,0,1,1,0,1,1,3
pontevedra,2,0,0,2,1,1,1,1,0,1,1,2
vigo(*),2,0,0,2,1,1,1,1,0,1,1,2
salamanca,2,0,0,3,1,0,0,1,0,1,1,3
san sebastian,2,0,0,3,0,0,1,1,1,1,1,2
s.c. tenerife,2,1,0,2,1,0,0,1,0,1,1,3
santander,2,0,0,2,0,0,1,1,1,1,1,3
segovia,2,0,0,3,1,0,0,1,0,1,1,3
sevilla,2,1,0,2,1,0,0,1,0,1,1,3
soria,2,0,0,3,1,0,0,1,0,1,1,3
tarragona,2,0,0,2,0,2,0,1,0,1,1,3
teruel,2,0,0,3,1,0,0,1,0,1,1,3
toledo,2,0,0,2,1,1,0,1,0,1,1,3
valencia,2,0,1,3,0,1,0,1,0,1,1,2
valladolid,2,0,0,3,1,0,0,1,0,1,1,3
vitoria,2,0,0,3,0,0,1,1,1,1,1,2
zamora,2,0,0,3,1,0,0,1,0,1,1,3
zaragoza,2,0,0,3,1,0,0,1,0,1,1,3
