nivel_educativo,sexo,comunidad,año,media_poblacion,trimestre
educacion primaria,hombres,melilla,2014,21.3,primero
educacion primaria,mujeres,galicia,2014,21.4,segundo
educacion primaria,mujeres,galicia,2014,20.9,tercero
educacion primaria,mujeres,galicia,2014,21.1,cuarto
educacion primaria,mujeres,extremadura,2014,13.4,primero
educacion primaria,mujeres,extremadura,2014,13.0,segundo
educacion primaria,mujeres,extremadura,2014,12.9,tercero
educacion primaria,mujeres,extremadura,2014,12.4,cuarto
educacion primaria,mujeres,valencia,2014,15.4,primero
educacion primaria,mujeres,valencia,2014,13.9,segundo
educacion primaria,mujeres,valencia,2014,12.9,tercero
educacion primaria,mujeres,valencia,2014,13.0,cuarto
educacion primaria,mujeres,cataluña,2014,19.4,primero
educacion primaria,mujeres,galicia,2014,22.3,primero
educacion primaria,mujeres,cataluña,2014,19.0,segundo
educacion primaria,mujeres,cataluña,2014,18.0,cuarto
educacion primaria,mujeres,castilla la mancha,2014,14.5,primero
educacion primaria,mujeres,castilla la mancha,2014,14.5,segundo
educacion primaria,mujeres,castilla la mancha,2014,14.7,tercero
educacion primaria,mujeres,castilla la mancha,2014,14.6,cuarto
educacion primaria,mujeres,castilla y leon,2014,22.6,primero
educacion primaria,mujeres,castilla y leon,2014,21.6,segundo
educacion primaria,mujeres,castilla y leon,2014,20.9,tercero
educacion primaria,mujeres,castilla y leon,2014,21.0,cuarto
educacion primaria,mujeres,cantabria,2014,20.5,primero
educacion primaria,mujeres,cantabria,2014,20.6,segundo
educacion primaria,mujeres,cantabria,2014,19.6,tercero
educacion primaria,mujeres,cataluña,2014,18.7,tercero
educacion primaria,mujeres,cantabria,2014,18.2,cuarto
educacion primaria,mujeres,madrid,2014,11.2,cuarto
educacion primaria,mujeres,madrid,2014,12.7,segundo
educacion primaria,hombres,andalucia,2014,33.5,cuarto
educacion primaria,mujeres,melilla,2014,13.6,primero
educacion primaria,mujeres,melilla,2014,12.9,segundo
educacion primaria,mujeres,melilla,2014,15.0,tercero
educacion primaria,mujeres,melilla,2014,14.6,cuarto
educacion primaria,mujeres,ceuta,2014,12.6,primero
educacion primaria,mujeres,ceuta,2014,12.5,segundo
educacion primaria,mujeres,ceuta,2014,13.6,tercero
educacion primaria,mujeres,ceuta,2014,18.0,cuarto
educacion primaria,mujeres,la rioja,2014,22.6,primero
educacion primaria,mujeres,la rioja,2014,22.8,segundo
educacion primaria,mujeres,la rioja,2014,22.4,tercero
educacion primaria,mujeres,madrid,2014,11.1,tercero
educacion primaria,mujeres,la rioja,2014,20.1,cuarto
educacion primaria,mujeres,pais vasco,2014,21.1,segundo
educacion primaria,mujeres,pais vasco,2014,20.6,tercero
educacion primaria,mujeres,pais vasco,2014,20.8,cuarto
educacion primaria,mujeres,navarra,2014,19.2,primero
educacion primaria,mujeres,navarra,2014,17.8,segundo
educacion primaria,mujeres,navarra,2014,18.6,tercero
educacion primaria,mujeres,navarra,2014,18.9,cuarto
educacion primaria,mujeres,region de murcia,2014,15.2,primero
educacion primaria,mujeres,region de murcia,2014,14.8,segundo
educacion primaria,mujeres,region de murcia,2014,14.9,tercero
educacion primaria,mujeres,region de murcia,2014,14.4,cuarto
educacion primaria,mujeres,madrid,2014,12.2,primero
educacion primaria,mujeres,pais vasco,2014,22.2,primero
educacion primaria,mujeres,canarias,2014,14.5,primero
educacion primaria,mujeres,canarias,2014,14.4,segundo
educacion primaria,mujeres,canarias,2014,16.1,tercero
educacion primaria,hombres,pais vasco,2014,14.3,tercero
educacion primaria,hombres,pais vasco,2014,13.9,cuarto
educacion primaria,hombres,navarra,2014,14.7,primero
educacion primaria,hombres,navarra,2014,13.5,segundo
educacion primaria,hombres,navarra,2014,14.4,tercero
educacion primaria,hombres,navarra,2014,14.1,cuarto
educacion primaria,hombres,region de murcia,2014,15.2,primero
educacion primaria,hombres,region de murcia,2014,13.9,segundo
educacion primaria,hombres,region de murcia,2014,13.8,tercero
educacion primaria,hombres,region de murcia,2014,13.9,cuarto
educacion primaria,hombres,madrid,2014,9.7,primero
educacion primaria,hombres,madrid,2014,10.0,segundo
educacion primaria,hombres,pais vasco,2014,14.2,segundo
educacion primaria,hombres,madrid,2014,9.3,tercero
educacion primaria,hombres,galicia,2014,18.5,primero
educacion primaria,hombres,galicia,2014,17.4,segundo
educacion primaria,hombres,galicia,2014,17.4,tercero
educacion primaria,hombres,galicia,2014,17.2,cuarto
educacion primaria,hombres,extremadura,2014,14.0,primero
educacion primaria,hombres,extremadura,2014,13.2,segundo
educacion primaria,hombres,extremadura,2014,12.9,tercero
educacion primaria,hombres,extremadura,2014,11.2,cuarto
educacion primaria,hombres,valencia,2014,13.7,primero
educacion primaria,hombres,valencia,2014,12.2,segundo
educacion primaria,hombres,valencia,2014,11.0,tercero
educacion primaria,hombres,valencia,2014,11.0,cuarto
educacion primaria,hombres,madrid,2014,9.2,cuarto
educacion primaria,hombres,pais vasco,2014,14.5,primero
educacion primaria,hombres,la rioja,2014,15.6,cuarto
educacion primaria,hombres,la rioja,2014,16.7,tercero
educacion primaria,mujeres,canarias,2014,16.5,cuarto
educacion primaria,mujeres,baleares,2014,13.6,primero
educacion primaria,mujeres,baleares,2014,13.5,segundo
educacion primaria,mujeres,baleares,2014,12.5,tercero
educacion primaria,mujeres,baleares,2014,12.0,cuarto
educacion primaria,mujeres,asturias,2014,25.5,primero
educacion primaria,mujeres,asturias,2014,25.4,segundo
educacion primaria,mujeres,asturias,2014,24.8,tercero
educacion primaria,mujeres,asturias,2014,23.3,cuarto
educacion primaria,mujeres,aragon,2014,22.2,primero
educacion primaria,mujeres,aragon,2014,22.0,segundo
educacion primaria,mujeres,aragon,2014,22.5,tercero
educacion primaria,mujeres,aragon,2014,21.9,cuarto
educacion primaria,mujeres,andalucia,2014,14.3,primero
educacion primaria,mujeres,andalucia,2014,14.2,segundo
educacion primaria,mujeres,andalucia,2014,14.3,tercero
educacion primaria,mujeres,andalucia,2014,14.3,cuarto
educacion primaria,hombres,melilla,2014,12.0,primero
educacion primaria,hombres,melilla,2014,12.6,segundo
educacion primaria,hombres,melilla,2014,11.7,tercero
educacion primaria,hombres,melilla,2014,11.6,cuarto
educacion primaria,hombres,ceuta,2014,15.5,primero
educacion primaria,hombres,ceuta,2014,14.0,segundo
educacion primaria,hombres,ceuta,2014,14.6,tercero
educacion primaria,hombres,ceuta,2014,15.7,cuarto
educacion primaria,hombres,la rioja,2014,18.3,primero
educacion primaria,hombres,la rioja,2014,17.7,segundo
educacion primaria,hombres,andalucia,2014,33.6,tercero
educacion primaria,hombres,cataluña,2014,17.5,primero
educacion primaria,hombres,andalucia,2014,33.8,segundo
educacion primaria,hombres,aragon,2014,26.3,cuarto
educacion primaria,mujeres,baleares,2014,29.7,primero
educacion primaria,mujeres,baleares,2014,29.1,segundo
educacion primaria,mujeres,baleares,2014,30.0,tercero
educacion primaria,mujeres,baleares,2014,30.8,cuarto
educacion primaria,mujeres,asturias,2014,19.7,primero
educacion primaria,mujeres,asturias,2014,19.5,segundo
educacion primaria,mujeres,asturias,2014,20.0,tercero
educacion primaria,mujeres,asturias,2014,20.1,cuarto
educacion primaria,mujeres,aragon,2014,21.2,primero
educacion primaria,mujeres,aragon,2014,20.7,segundo
educacion primaria,mujeres,aragon,2014,21.3,tercero
educacion primaria,mujeres,aragon,2014,22.3,cuarto
educacion primaria,mujeres,canarias,2014,26.4,cuarto
educacion primaria,mujeres,andalucia,2014,29.0,primero
educacion primaria,mujeres,andalucia,2014,28.5,tercero
educacion primaria,mujeres,andalucia,2014,27.8,cuarto
educacion universitaria,mujeres,melilla,2014,18.5,segundo
educacion primaria,hombres,melilla,2014,23.4,segundo
educacion primaria,hombres,melilla,2014,28.8,tercero
educacion primaria,hombres,melilla,2014,29.5,cuarto
