sexo,provincia,comunidad,tasa,año,media,trimestre
hombres,melilla,melilla,empleo,2002,62.64,primero
hombres,rioja,la rioja,actividad,2002,67.42,primero
hombres,rioja,la rioja,paro,2002,3.8,cuarto
hombres,rioja,la rioja,paro,2002,5.58,tercero
hombres,rioja,la rioja,paro,2002,6.5,segundo
hombres,rioja,la rioja,paro,2002,5.75,primero
hombres,rioja,la rioja,empleo,2002,63.53,cuarto
hombres,rioja,la rioja,actividad,2002,67.81,segundo
hombres,rioja,la rioja,empleo,2002,63.77,tercero
hombres,rioja,la rioja,empleo,2002,63.55,primero
hombres,salamanca,castilla y leon,actividad,2002,60.54,cuarto
hombres,salamanca,castilla y leon,actividad,2002,61.9,tercero
hombres,salamanca,castilla y leon,actividad,2002,63.64,segundo
hombres,salamanca,castilla y leon,actividad,2002,62.52,primero
hombres,salamanca,castilla y leon,paro,2002,7.95,cuarto
hombres,rioja,la rioja,empleo,2002,63.4,segundo
hombres,rioja,la rioja,actividad,2002,67.54,tercero
hombres,rioja,la rioja,actividad,2002,66.04,cuarto
hombres,pontevedra,galicia,empleo,2002,55.92,primero
hombres,las palmas,canarias,empleo,2002,63.79,cuarto
hombres,las palmas,canarias,empleo,2002,64.18,tercero
hombres,las palmas,canarias,empleo,2002,64.28,segundo
hombres,las palmas,canarias,empleo,2002,63.85,primero
hombres,pontevedra,galicia,actividad,2002,63.98,cuarto
hombres,pontevedra,galicia,actividad,2002,64.09,tercero
hombres,pontevedra,galicia,actividad,2002,62.82,segundo
hombres,pontevedra,galicia,actividad,2002,62.38,primero
hombres,pontevedra,galicia,paro,2002,8.52,cuarto
hombres,pontevedra,galicia,paro,2002,7.1,tercero
hombres,pontevedra,galicia,paro,2002,8.07,segundo
hombres,pontevedra,galicia,paro,2002,10.35,primero
hombres,pontevedra,galicia,empleo,2002,58.53,cuarto
hombres,pontevedra,galicia,empleo,2002,59.53,tercero
hombres,pontevedra,galicia,empleo,2002,57.76,segundo
hombres,salamanca,castilla y leon,paro,2002,9.82,tercero
hombres,las palmas,canarias,paro,2002,7.68,primero
hombres,salamanca,castilla y leon,paro,2002,8.76,segundo
hombres,salamanca,castilla y leon,empleo,2002,55.73,cuarto
hombres,segovia,castilla y leon,paro,2002,6.45,cuarto
hombres,segovia,castilla y leon,paro,2002,6.63,tercero
hombres,segovia,castilla y leon,paro,2002,5.47,segundo
hombres,segovia,castilla y leon,paro,2002,3.8,primero
hombres,segovia,castilla y leon,empleo,2002,60.61,cuarto
hombres,segovia,castilla y leon,empleo,2002,61.89,tercero
hombres,segovia,castilla y leon,actividad,2002,63.48,primero
hombres,segovia,castilla y leon,empleo,2002,61.65,segundo
hombres,sevilla,andalucia,actividad,2002,68.4,cuarto
hombres,sevilla,andalucia,actividad,2002,68.32,tercero
hombres,sevilla,andalucia,actividad,2002,68.21,segundo
hombres,sevilla,andalucia,actividad,2002,68.25,primero
hombres,sevilla,andalucia,paro,2002,16.37,cuarto
hombres,sevilla,andalucia,paro,2002,14.42,tercero
hombres,segovia,castilla y leon,empleo,2002,61.06,primero
hombres,segovia,castilla y leon,actividad,2002,65.21,segundo
hombres,segovia,castilla y leon,actividad,2002,66.28,tercero
hombres,segovia,castilla y leon,actividad,2002,64.78,cuarto
hombres,salamanca,castilla y leon,empleo,2002,55.82,tercero
hombres,salamanca,castilla y leon,empleo,2002,58.07,segundo
hombres,salamanca,castilla y leon,empleo,2002,56.55,primero
hombres,santa cruz de tenerife,canarias,actividad,2002,69.07,cuarto
hombres,santa cruz de tenerife,canarias,actividad,2002,69.03,tercero
hombres,santa cruz de tenerife,canarias,actividad,2002,68.54,segundo
hombres,santa cruz de tenerife,canarias,actividad,2002,69.13,primero
hombres,santa cruz de tenerife,canarias,paro,2002,9.36,cuarto
hombres,santa cruz de tenerife,canarias,paro,2002,8.41,tercero
