tipo,comunidad,año,total
abuso_sexual,melilla,2015,0
agresion_sexual,asturias,2015,30
agresion_sexual,baleares,2015,10
agresion_sexual,canarias,2015,10
agresion_sexual,cantabria,2015,0
agresion_sexual,castilla y leon,2015,20
agresion_sexual,castilla la mancha,2015,20
agresion_sexual,cataluña,2015,50
agresion_sexual,valencia,2015,100
agresion_sexual,extremadura,2015,10
agresion_sexual,galicia,2015,60
agresion_sexual,madrid,2015,50
agresion_sexual,region de murcia,2015,10
agresion_sexual,navarra,2015,10
agresion_sexual,pais vasco,2015,0
agresion_sexual,la rioja,2015,0
agresion_sexual,aragon,2015,0
agresion_sexual,ceuta,2015,0
agresion_sexual,andalucia,2015,120
tortura_integridad_moral,ceuta,2015,30
tortura_integridad_moral,asturias,2015,390
tortura_integridad_moral,baleares,2015,1260
tortura_integridad_moral,canarias,2015,3490
tortura_integridad_moral,cantabria,2015,310
tortura_integridad_moral,castilla y leon,2015,1480
tortura_integridad_moral,castilla la mancha,2015,1260
tortura_integridad_moral,cataluña,2015,3790
tortura_integridad_moral,valencia,2015,4610
tortura_integridad_moral,extremadura,2015,900
tortura_integridad_moral,galicia,2015,1080
tortura_integridad_moral,madrid,2015,1740
tortura_integridad_moral,region de murcia,2015,1660
tortura_integridad_moral,navarra,2015,290
tortura_integridad_moral,pais vasco,2015,220
tortura_integridad_moral,la rioja,2015,190
tortura_integridad_moral,melilla,2015,80
tortura_integridad_moral,aragon,2015,480
agresion_sexual,melilla,2015,0
abuso_sexual,aragon,2015,0
abuso_menores,baleares,2015,0
abuso_menores,canarias,2015,0
abuso_menores,cantabria,2015,0
abuso_menores,castilla y leon,2015,0
abuso_menores,castilla la mancha,2015,0
abuso_menores,cataluña,2015,0
abuso_menores,valencia,2015,0
abuso_menores,extremadura,2015,0
abuso_menores,galicia,2015,0
abuso_menores,madrid,2015,0
abuso_menores,region de murcia,2015,0
abuso_menores,navarra,2015,0
abuso_menores,pais vasco,2015,0
abuso_menores,la rioja,2015,0
abuso_menores,ceuta,2015,0
abuso_menores,asturias,2015,0
abuso_sexual,andalucia,2015,20
abuso_menores,aragon,2015,0
abuso_sexual,ceuta,2015,0
abuso_sexual,asturias,2015,0
abuso_sexual,baleares,2015,10
abuso_sexual,canarias,2015,10
abuso_sexual,cantabria,2015,0
abuso_sexual,castilla y leon,2015,20
abuso_sexual,castilla la mancha,2015,30
abuso_sexual,cataluña,2015,20
abuso_sexual,valencia,2015,30
abuso_sexual,extremadura,2015,20
abuso_sexual,galicia,2015,0
abuso_sexual,madrid,2015,20
abuso_sexual,region de murcia,2015,0
abuso_sexual,navarra,2015,0
abuso_sexual,pais vasco,2015,10
abuso_sexual,la rioja,2015,0
abuso_menores,andalucia,2015,0
abuso_menores,melilla,2015,0
tortura_integridad_moral,andalucia,2015,7790
coacciones,ceuta,2015,10
detencion_secuestro,asturias,2015,10
detencion_secuestro,baleares,2015,0
detencion_secuestro,canarias,2015,0
detencion_secuestro,cantabria,2015,10
detencion_secuestro,castilla y leon,2015,0
detencion_secuestro,castilla la mancha,2015,20
detencion_secuestro,cataluña,2015,20
detencion_secuestro,valencia,2015,0
detencion_secuestro,extremadura,2015,0
detencion_secuestro,galicia,2015,10
detencion_secuestro,madrid,2015,10
detencion_secuestro,region de murcia,2015,0
detencion_secuestro,navarra,2015,10
detencion_secuestro,pais vasco,2015,10
detencion_secuestro,la rioja,2015,50
detencion_secuestro,aragon,2015,0
detencion_secuestro,ceuta,2015,0
detencion_secuestro,andalucia,2015,50
lesiones,ceuta,2015,330
lesiones,asturias,2015,2710
lesiones,baleares,2015,4660
lesiones,canarias,2015,8380
lesiones,cantabria,2015,1650
lesiones,castilla y leon,2015,4960
lesiones,castilla la mancha,2015,5600
lesiones,cataluña,2015,1446
lesiones,valencia,2015,1857
lesiones,extremadura,2015,3050
lesiones,galicia,2015,5690
lesiones,madrid,2015,1449
lesiones,region de murcia,2015,6520
lesiones,navarra,2015,1520
lesiones,pais vasco,2015,6270
lesiones,la rioja,2015,1050
lesiones,melilla,2015,420
coacciones,melilla,2015,0
detencion_secuestro,melilla,2015,0
amenazas,aragon,2015,1170
coacciones,asturias,2015,340
coacciones,baleares,2015,1170
coacciones,canarias,2015,920
coacciones,cantabria,2015,140
coacciones,castilla y leon,2015,570
coacciones,castilla la mancha,2015,480
coacciones,cataluña,2015,1610
coacciones,valencia,2015,1700
coacciones,extremadura,2015,580
coacciones,galicia,2015,810
coacciones,madrid,2015,1490
coacciones,region de murcia,2015,630
coacciones,navarra,2015,270
coacciones,pais vasco,2015,810
coacciones,la rioja,2015,110
coacciones,aragon,2015,290
amenazas,andalucia,2015,1614
coacciones,andalucia,2015,1780
amenazas,ceuta,2015,140
amenazas,asturias,2015,1430
amenazas,baleares,2015,2480
amenazas,canarias,2015,4230
amenazas,cantabria,2015,680
amenazas,castilla y leon,2015,3380
amenazas,castilla la mancha,2015,3600
amenazas,cataluña,2015,8010
amenazas,valencia,2015,9590
amenazas,extremadura,2015,1930
amenazas,galicia,2015,2970
amenazas,madrid,2015,5120
amenazas,region de murcia,2015,2520
amenazas,navarra,2015,570
amenazas,pais vasco,2015,2770
amenazas,la rioja,2015,440
amenazas,melilla,2015,160
lesiones,aragon,2015,3110
allanamiento,andalucia,2015,170
allanamiento,asturias,2015,60
faltas,baleares,2015,720
faltas,canarias,2015,3020
faltas,cantabria,2015,550
faltas,castilla y leon,2015,1830
faltas,castilla la mancha,2015,1270
faltas,cataluña,2015,4890
faltas,valencia,2015,6530
faltas,extremadura,2015,1350
faltas,galicia,2015,930
faltas,madrid,2015,3470
faltas,region de murcia,2015,1810
faltas,navarra,2015,180
faltas,pais vasco,2015,2720
faltas,la rioja,2015,210
faltas,ceuta,2015,40
faltas,asturias,2015,640
faltas,melilla,2015,50
faltas,aragon,2015,1100
otros,melilla,2015,0
otros,baleares,2015,100
otros,canarias,2015,180
otros,cantabria,2015,80
otros,castilla y leon,2015,210
otros,castilla la mancha,2015,140
otros,cataluña,2015,600
otros,valencia,2015,410
otros,extremadura,2015,130
otros,galicia,2015,260
otros,madrid,2015,470
otros,region de murcia,2015,120
otros,navarra,2015,60
otros,pais vasco,2015,130
otros,la rioja,2015,0
otros,ceuta,2015,0
faltas,andalucia,2015,9000
otros,asturias,2015,60
faltas,andalucia,2015,8420
faltas,asturias,2015,590
faltas,baleares,2015,50
faltas,canarias,2015,330
faltas,cantabria,2015,110
faltas,castilla y leon,2015,110
faltas,castilla la mancha,2015,140
faltas,cataluña,2015,510
faltas,valencia,2015,580
faltas,extremadura,2015,30
faltas,galicia,2015,140
faltas,madrid,2015,350
faltas,region de murcia,2015,80
faltas,navarra,2015,10
faltas,pais vasco,2015,220
faltas,la rioja,2015,20
faltas,ceuta,2015,0
faltas,asturias,2015,50
faltas,aragon,2015,960
faltas,aragon,2015,140
faltas,melilla,2015,50
faltas,baleares,2015,670
faltas,canarias,2015,2690
faltas,cantabria,2015,440
faltas,castilla y leon,2015,1720
faltas,castilla la mancha,2015,1130
faltas,cataluña,2015,4380
faltas,valencia,2015,5950
faltas,extremadura,2015,1320
faltas,galicia,2015,790
faltas,madrid,2015,3120
faltas,region de murcia,2015,1730
faltas,navarra,2015,170
faltas,pais vasco,2015,2500
faltas,la rioja,2015,190
faltas,ceuta,2015,40
faltas,andalucia,2015,580
allanamiento,aragon,2015,10
otros,aragon,2015,60
quebrantamiento_condena,melilla,2015,20
injurias,baleares,2015,80
injurias,canarias,2015,140
injurias,cantabria,2015,80
injurias,castilla y leon,2015,20
injurias,castilla la mancha,2015,80
injurias,cataluña,2015,230
injurias,valencia,2015,300
injurias,extremadura,2015,30
injurias,galicia,2015,30
injurias,madrid,2015,110
injurias,region de murcia,2015,250
injurias,navarra,2015,0
injurias,pais vasco,2015,280
injurias,la rioja,2015,0
injurias,ceuta,2015,10
injurias,asturias,2015,30
injurias,melilla,2015,10
injurias,aragon,2015,10
allanamiento,melilla,2015,0
allanamiento,baleares,2015,50
allanamiento,canarias,2015,30
allanamiento,cantabria,2015,10
allanamiento,castilla y leon,2015,10
allanamiento,castilla la mancha,2015,40
allanamiento,cataluña,2015,240
allanamiento,valencia,2015,170
allanamiento,extremadura,2015,0
allanamiento,galicia,2015,50
allanamiento,madrid,2015,130
allanamiento,region de murcia,2015,0
allanamiento,navarra,2015,40
allanamiento,pais vasco,2015,0
allanamiento,la rioja,2015,0
allanamiento,ceuta,2015,0
injurias,andalucia,2015,240
otros,andalucia,2015,1080
daños,andalucia,2015,440
daños,asturias,2015,50
quebrantamiento_condena,baleares,2015,970
quebrantamiento_condena,canarias,2015,1940
quebrantamiento_condena,cantabria,2015,230
quebrantamiento_condena,castilla y leon,2015,1430
quebrantamiento_condena,castilla la mancha,2015,1160
quebrantamiento_condena,cataluña,2015,5060
quebrantamiento_condena,valencia,2015,5540
quebrantamiento_condena,extremadura,2015,820
quebrantamiento_condena,galicia,2015,1540
quebrantamiento_condena,madrid,2015,4170
quebrantamiento_condena,region de murcia,2015,1020
quebrantamiento_condena,navarra,2015,280
quebrantamiento_condena,pais vasco,2015,2120
quebrantamiento_condena,la rioja,2015,170
quebrantamiento_condena,ceuta,2015,70
quebrantamiento_condena,asturias,2015,1170
daños,aragon,2015,40
quebrantamiento_condena,aragon,2015,310
daños,melilla,2015,0
daños,baleares,2015,110
daños,canarias,2015,290
daños,cantabria,2015,70
daños,castilla y leon,2015,110
daños,castilla la mancha,2015,90
daños,cataluña,2015,330
daños,valencia,2015,370
daños,extremadura,2015,70
daños,galicia,2015,100
daños,madrid,2015,110
daños,region de murcia,2015,140
daños,navarra,2015,30
daños,pais vasco,2015,20
daños,la rioja,2015,30
daños,ceuta,2015,0
quebrantamiento_condena,andalucia,2015,5100
lesiones,andalucia,2015,2287
faltas,melilla,2015,0
delito,pais vasco,2015,1267
delito,castilla y leon,2015,1223
homicidio,valencia,2015,120
homicidio,andalucia,2015,120
delito,la rioja,2015,2040
delito,navarra,2015,3080
homicidio,asturias,2015,0
homicidio,galicia,2015,30
delito,madrid,2015,2802
delito,canarias,2015,1971
delito,ceuta,2015,590
delito,aragon,2015,5520
homicidio,castilla la mancha,2015,30
homicidio,ceuta,2015,0
delito,melilla,2015,690
delito,baleares,2015,1092
homicidio,cataluña,2015,170
delito,valencia,2015,4151
delito,andalucia,2015,5592
delito,cataluña,2015,3459
homicidio,pais vasco,2015,30
homicidio,aragon,2015,40
homicidio,canarias,2015,90
homicidio,madrid,2015,110
delito,asturias,2015,6280
delito,cantabria,2015,3260
homicidio,region de murcia,2015,30
homicidio,extremadura,2015,0
homicidio,baleares,2015,20
homicidio,melilla,2015,0
homicidio,cantabria,2015,0
homicidio,navarra,2015,0
delito,extremadura,2015,7540
delito,castilla la mancha,2015,1255
homicidio,castilla y leon,2015,20
delito,region de murcia,2015,129
homicidio,la rioja,2015,0
delito,galicia,2015,1263
abuso_sexual,valencia,2016,40
daños,castilla y leon,2016,150
daños,baleares,2016,240
allanamiento,valencia,2016,230
amenazas,pais vasco,2016,2420
delito,ceuta,2016,680
abuso_sexual,castilla y leon,2016,30
homicidio,baleares,2016,20
amenazas,la rioja,2016,440
abuso_sexual,castilla la mancha,2016,20
abuso_sexual,extremadura,2016,0
faltas,valencia,2016,1190
faltas,aragon,2016,40
faltas,valencia,2016,220
daños,castilla la mancha,2016,70
amenazas,navarra,2016,750
abuso_sexual,cantabria,2016,0
daños,aragon,2016,70
coacciones,castilla y leon,2016,550
daños,canarias,2016,410
coacciones,cantabria,2016,200
daños,asturias,2016,120
coacciones,aragon,2016,310
allanamiento,castilla la mancha,2016,10
otros,pais vasco,2016,160
coacciones,canarias,2016,720
coacciones,andalucia,2016,2120
faltas,extremadura,2016,240
faltas,extremadura,2016,10
homicidio,galicia,2016,50
allanamiento,cataluña,2016,270
coacciones,asturias,2016,410
abuso_sexual,cataluña,2016,20
daños,cantabria,2016,130
faltas,castilla la mancha,2016,300
faltas,cataluña,2016,1210
otros,asturias,2016,70
amenazas,ceuta,2016,120
coacciones,baleares,2016,1650
delito,region de murcia,2016,1617
amenazas,melilla,2016,160
coacciones,la rioja,2016,160
allanamiento,castilla y leon,2016,10
faltas,aragon,2016,200
delito,andalucia,2016,6734
