comunidad,sexo,año,total
valencia,hombres,2007,2432162
cataluña,mujeres,2007,3632332
cataluña,hombres,2007,3578176
castilla la mancha,mujeres,2007,981636
castilla la mancha,hombres,2007,995668
castilla y leon,mujeres,2007,1277335
castilla y leon,hombres,2007,1251082
valencia,mujeres,2007,2452867
cantabria,mujeres,2007,292541
canarias,mujeres,2007,1010458
canarias,hombres,2007,1015493
baleares,mujeres,2007,513057
baleares,hombres,2007,517593
asturias,mujeres,2007,559570
asturias,hombres,2007,515292
cantabria,hombres,2007,280283
aragon,mujeres,2007,649659
extremadura,hombres,2007,541692
galicia,hombres,2007,1337159
melilla,hombres,2007,35208
ceuta,mujeres,2007,37690
ceuta,hombres,2007,38913
la rioja,mujeres,2007,153195
la rioja,hombres,2007,155773
pais vasco,mujeres,2007,1095065
extremadura,mujeres,2007,548298
pais vasco,hombres,2007,1046795
navarra,hombres,2007,302330
region de murcia,mujeres,2007,685791
region de murcia,hombres,2007,706326
madrid,mujeres,2007,3137911
madrid,hombres,2007,2943778
galicia,mujeres,2007,1435374
navarra,mujeres,2007,303546
aragon,hombres,2007,646996
melilla,mujeres,2007,34232
andalucia,hombres,2007,3999243
andalucia,mujeres,2007,4060218
pais vasco,hombres,2008,1055150
pais vasco,mujeres,2008,1101962
madrid,mujeres,2008,3230980
asturias,mujeres,2008,561847
melilla,hombres,2008,36336
andalucia,hombres,2008,4071500
madrid,hombres,2008,3040658
baleares,hombres,2008,540395
galicia,mujeres,2008,1439901
baleares,mujeres,2008,532449
galicia,hombres,2008,1344268
la rioja,hombres,2008,160342
extremadura,mujeres,2008,551552
canarias,hombres,2008,1040137
andalucia,mujeres,2008,4130720
extremadura,hombres,2008,546192
castilla y leon,mujeres,2008,1287992
castilla la mancha,hombres,2008,1033131
castilla y leon,hombres,2008,1269338
castilla la mancha,mujeres,2008,1009969
cataluña,hombres,2008,3661028
cantabria,mujeres,2008,296669
region de murcia,hombres,2008,722999
cataluña,mujeres,2008,3703050
valencia,hombres,2008,2508433
melilla,mujeres,2008,35112
cantabria,hombres,2008,285469
ceuta,mujeres,2008,38004
canarias,mujeres,2008,1035831
valencia,mujeres,2008,2521168
la rioja,mujeres,2008,157159
asturias,hombres,2008,518291
ceuta,hombres,2008,39385
navarra,hombres,2008,310282
aragon,hombres,2008,664403
navarra,mujeres,2008,310095
region de murcia,mujeres,2008,703110
aragon,mujeres,2008,662515
cataluña,mujeres,2009,3761655
canarias,hombres,2009,1052636
valencia,hombres,2009,2537898
melilla,mujeres,2009,36216
galicia,mujeres,2009,1446486
cantabria,hombres,2009,288735
la rioja,mujeres,2009,159529
valencia,mujeres,2009,2556777
baleares,mujeres,2009,544347
aragon,mujeres,2009,671654
ceuta,mujeres,2009,38556
la rioja,hombres,2009,162173
navarra,mujeres,2009,315092
ceuta,hombres,2009,40118
andalucia,mujeres,2009,4189540
canarias,mujeres,2009,1051356
navarra,hombres,2009,315486
extremadura,mujeres,2009,554860
extremadura,hombres,2009,547550
madrid,hombres,2009,3094874
cantabria,mujeres,2009,300500
galicia,hombres,2009,1349603
baleares,hombres,2009,551079
andalucia,hombres,2009,4113383
region de murcia,hombres,2009,731609
aragon,hombres,2009,673819
castilla la mancha,mujeres,2009,1029645
pais vasco,hombres,2009,1062412
asturias,mujeres,2009,564373
castilla y leon,hombres,2009,1272020
pais vasco,mujeres,2009,1109763
madrid,mujeres,2009,3292058
castilla y leon,mujeres,2009,1291501
melilla,hombres,2009,37244
cataluña,hombres,2009,3713765
asturias,hombres,2009,520916
region de murcia,mujeres,2009,714911
castilla la mancha,hombres,2009,1051668
canarias,mujeres,2010,1059813
navarra,mujeres,2010,318501
pais vasco,hombres,2010,1064708
castilla y leon,mujeres,2010,1290655
castilla la mancha,hombres,2010,1059149
extremadura,mujeres,2010,557499
cataluña,mujeres,2010,3787866
castilla la mancha,mujeres,2010,1039224
ceuta,mujeres,2010,39310
valencia,mujeres,2010,2568757
la rioja,mujeres,2010,160531
cantabria,hombres,2010,289931
andalucia,mujeres,2010,4226119
melilla,mujeres,2010,37215
valencia,hombres,2010,2542949
cataluña,hombres,2010,3724515
aragon,hombres,2010,673177
cantabria,mujeres,2010,302319
ceuta,hombres,2010,41269
castilla y leon,hombres,2010,1268860
asturias,hombres,2010,520402
canarias,hombres,2010,1058706
pais vasco,mujeres,2010,1113631
andalucia,hombres,2010,4144856
region de murcia,hombres,2010,738627
region de murcia,mujeres,2010,723352
asturias,mujeres,2010,563939
melilla,hombres,2010,38819
madrid,mujeres,2010,3334246
madrid,hombres,2010,3124438
baleares,hombres,2010,555204
navarra,hombres,2010,318423
