provincia,sexo,año,total
jaen,mujeres,2007,334199
cordoba,mujeres,2007,403009
coruña,hombres,2007,544352
coruña,mujeres,2007,588440
cuenca,hombres,2007,106633
cuenca,mujeres,2007,104742
guipuzcoa,hombres,2007,341400
guipuzcoa,mujeres,2007,353544
gerona,hombres,2007,358108
gerona,mujeres,2007,348077
cordoba,hombres,2007,389173
granada,hombres,2007,437782
guadalajara,hombres,2007,114798
guadalajara,mujeres,2007,109278
huelva,hombres,2007,248151
huelva,mujeres,2007,249520
huesca,hombres,2007,111978
huesca,mujeres,2007,108129
jaen,hombres,2007,330543
leon,hombres,2007,242939
leon,mujeres,2007,254448
granada,mujeres,2007,446317
ciudad real,mujeres,2007,256649
ciudad real,hombres,2007,253473
castellon,mujeres,2007,285203
asturias,hombres,2007,515292
asturias,mujeres,2007,559570
avila,hombres,2007,84897
avila,mujeres,2007,83741
badajoz,hombres,2007,336211
badajoz,mujeres,2007,342248
islas baleares,hombres,2007,517593
islas baleares,mujeres,2007,513057
barcelona,hombres,2007,2623719
barcelona,mujeres,2007,2708794
vizcaya,hombres,2007,553355
vizcaya,mujeres,2007,588102
burgos,hombres,2007,184713
burgos,mujeres,2007,181259
caceres,hombres,2007,205481
caceres,mujeres,2007,206050
cadiz,hombres,2007,601832
cadiz,mujeres,2007,605511
cantabria,hombres,2007,280283
cantabria,mujeres,2007,292541
castellon,hombres,2007,288079
lerida,hombres,2007,211268
alava,mujeres,2007,153419
lerida,mujeres,2007,202747
lugo,mujeres,2007,182754
sevilla,mujeres,2007,941415
soria,hombres,2007,47174
soria,mujeres,2007,46419
tarragona,hombres,2007,385081
tarragona,mujeres,2007,372714
teruel,hombres,2007,74262
teruel,mujeres,2007,69784
toledo,hombres,2007,323992
toledo,mujeres,2007,315629
sevilla,hombres,2007,907853
valencia,hombres,2007,1230628
valladolid,hombres,2007,255983
valladolid,mujeres,2007,265678
zamora,hombres,2007,97807
zamora,mujeres,2007,99430
zaragoza,hombres,2007,460756
zaragoza,mujeres,2007,471746
cuenca,hombres,2007,38913
cuenca,mujeres,2007,37690
melilla,hombres,2007,35208
valencia,mujeres,2007,1255855
segovia,mujeres,2007,78830
segovia,hombres,2007,80492
santa cruz de tenerife,mujeres,2007,494676
madrid,hombres,2007,2943778
madrid,mujeres,2007,3137911
malaga,hombres,2007,750682
malaga,mujeres,2007,766841
murcia,hombres,2007,706326
murcia,mujeres,2007,685791
navarra,hombres,2007,302330
navarra,mujeres,2007,303546
orense,hombres,2007,162026
orense,mujeres,2007,174900
palencia,hombres,2007,85505
palencia,mujeres,2007,87776
las palmas,hombres,2007,526349
las palmas,mujeres,2007,515782
pontevedra,hombres,2007,458359
pontevedra,mujeres,2007,489280
rioja,hombres,2007,155773
rioja,mujeres,2007,153195
salamanca,hombres,2007,171572
salamanca,mujeres,2007,179754
santa cruz de tenerife,hombres,2007,489144
lugo,hombres,2007,172422
alava,hombres,2007,152040
melilla,mujeres,2007,34232
albacete,hombres,2007,196772
almeria,hombres,2007,333227
alicante,hombres,2007,913455
almeria,mujeres,2007,313406
albacete,mujeres,2007,195338
alicante,mujeres,2007,911809
barcelona,hombres,2008,2668359
santa cruz de tenerife,hombres,2008,500032
murcia,hombres,2008,722999
alicante,mujeres,2008,943954
salamanca,hombres,2008,172878
las palmas,hombres,2008,540105
guadalajara,hombres,2008,122327
santa cruz de tenerife,mujeres,2008,505904
islas baleares,mujeres,2008,532449
castellon,hombres,2008,299829
zaragoza,mujeres,2008,481636
valladolid,mujeres,2008,268944
valencia,hombres,2008,1261081
murcia,mujeres,2008,703110
guipuzcoa,mujeres,2008,356377
islas baleares,hombres,2008,540395
huelva,hombres,2008,252394
ciudad real,hombres,2008,260649
badajoz,hombres,2008,340243
tarragona,hombres,2008,402024
cuenca,hombres,2008,109058
navarra,hombres,2008,310282
almeria,mujeres,2008,323919
rioja,hombres,2008,160342
badajoz,mujeres,2008,345003
cuenca,hombres,2008,39385
almeria,hombres,2008,343716
castellon,mujeres,2008,295086
sevilla,hombres,2008,921256
lerida,hombres,2008,218379
toledo,mujeres,2008,328926
cantabria,mujeres,2008,296669
leon,mujeres,2008,255414
pontevedra,hombres,2008,461469
cuenca,mujeres,2008,106216
granada,hombres,2008,447280
madrid,mujeres,2008,3230980
cadiz,hombres,2008,608616
burgos,mujeres,2008,183997
huelva,mujeres,2008,255521
albacete,mujeres,2008,197673
lugo,mujeres,2008,182635
soria,hombres,2008,47881
teruel,hombres,2008,75777
caceres,hombres,2008,205949
madrid,hombres,2008,3040658
zamora,mujeres,2008,99118
caceres,mujeres,2008,206549
rioja,mujeres,2008,157159
lugo,hombres,2008,172914
burgos,hombres,2008,189675
cadiz,mujeres,2008,611851
zamora,hombres,2008,98103
gerona,mujeres,2008,359598
barcelona,mujeres,2008,2748088
lerida,mujeres,2008,208493
malaga,mujeres,2008,790249
pontevedra,mujeres,2008,491931
las palmas,mujeres,2008,529927
vizcaya,hombres,2008,556095
valladolid,hombres,2008,260075
soria,mujeres,2008,46765
teruel,mujeres,2008,70547
sevilla,mujeres,2008,954206
alicante,hombres,2008,947523
vizcaya,mujeres,2008,590326
malaga,hombres,2008,773012
zaragoza,hombres,2008,473687
guipuzcoa,hombres,2008,344679
cantabria,hombres,2008,285469
avila,mujeres,2008,84979
palencia,mujeres,2008,87602
guadalajara,mujeres,2008,115460
coruña,hombres,2008,548037
huesca,hombres,2008,114939
orense,hombres,2008,161848
segovia,mujeres,2008,80647
alava,mujeres,2008,155259
segovia,hombres,2008,83252
melilla,mujeres,2008,35112
jaen,mujeres,2008,334870
palencia,hombres,2008,85852
jaen,hombres,2008,332568
salamanca,mujeres,2008,180526
asturias,mujeres,2008,561847
valencia,mujeres,2008,1282128
cordoba,mujeres,2008,406164
cordoba,hombres,2008,392658
gerona,hombres,2008,372266
orense,mujeres,2008,174251
asturias,hombres,2008,518291
leon,hombres,2008,244786
avila,hombres,2008,86836
ciudad real,mujeres,2008,261694
melilla,hombres,2008,36336
granada,mujeres,2008,453940
alava,hombres,2008,154376
cuenca,mujeres,2008,38004
huesca,mujeres,2008,110332
coruña,mujeres,2008,591084
tarragona,mujeres,2008,386871
albacete,hombres,2008,199820
toledo,hombres,2008,341277
navarra,mujeres,2008,310095
alava,hombres,2009,156418
valencia,mujeres,2009,1299124
soria,mujeres,2009,46815
tarragona,mujeres,2009,395397
las palmas,mujeres,2009,537512
cantabria,hombres,2009,288735
madrid,hombres,2009,3094874
cordoba,mujeres,2009,408773
malaga,mujeres,2009,806675
vizcaya,hombres,2009,559174
huelva,mujeres,2009,258259
zamora,mujeres,2009,98521
sevilla,mujeres,2009,967283
asturias,hombres,2009,520916
lerida,mujeres,2009,213307
pontevedra,mujeres,2009,495399
gerona,mujeres,2009,368153
pontevedra,hombres,2009,464365
coruña,mujeres,2009,594647
barcelona,mujeres,2009,2784798
salamanca,mujeres,2009,181096
caceres,mujeres,2009,207995
alicante,hombres,2009,958200
caceres,hombres,2009,205638
rioja,mujeres,2009,159529
palencia,hombres,2009,85950
toledo,hombres,2009,350578
lugo,mujeres,2009,182252
burgos,mujeres,2009,185292
cadiz,hombres,2009,609984
santa cruz de tenerife,hombres,2009,506646
huesca,mujeres,2009,111779
madrid,mujeres,2009,3292058
coruña,hombres,2009,550841
granada,hombres,2009,448784
santa cruz de tenerife,mujeres,2009,513844
lugo,hombres,2009,172943
burgos,hombres,2009,190271
cuenca,mujeres,2009,107081
cadiz,mujeres,2009,620610
segovia,hombres,2009,83636
guipuzcoa,hombres,2009,346820
alava,mujeres,2009,157401
soria,hombres,2009,48286
melilla,mujeres,2009,36216
zamora,hombres,2009,97144
palencia,mujeres,2009,87356
zaragoza,hombres,2009,481456
jaen,hombres,2009,332517
malaga,hombres,2009,786393
alicante,mujeres,2009,958812
vizcaya,mujeres,2009,593484
teruel,mujeres,2009,71018
rioja,hombres,2009,162173
guadalajara,hombres,2009,126608
leon,mujeres,2009,255453
valencia,hombres,2009,1276238
badajoz,hombres,2009,341912
tarragona,hombres,2009,407904
gerona,hombres,2009,379629
murcia,mujeres,2009,714911
orense,mujeres,2009,174188
guipuzcoa,mujeres,2009,358878
teruel,hombres,2009,75733
islas baleares,hombres,2009,551079
sevilla,hombres,2009,932941
huesca,hombres,2009,116630
cantabria,mujeres,2009,300500
las palmas,hombres,2009,545990
castellon,mujeres,2009,298841
ciudad real,mujeres,2009,264235
albacete,mujeres,2009,199729
navarra,hombres,2009,315486
orense,hombres,2009,161454
cuenca,hombres,2009,40118
albacete,hombres,2009,201162
avila,hombres,2009,86720
badajoz,mujeres,2009,346865
ciudad real,hombres,2009,263038
granada,mujeres,2009,458644
cuenca,hombres,2009,110282
almeria,hombres,2009,352395
melilla,hombres,2009,37244
avila,mujeres,2009,84960
zaragoza,mujeres,2009,488857
guadalajara,mujeres,2009,119543
leon,hombres,2009,244716
valladolid,mujeres,2009,270790
cuenca,mujeres,2009,38556
segovia,mujeres,2009,81218
barcelona,hombres,2009,2703137
lerida,hombres,2009,223095
jaen,mujeres,2009,337265
valladolid,hombres,2009,261785
murcia,hombres,2009,731609
toledo,mujeres,2009,339057
navarra,mujeres,2009,315092
castellon,hombres,2009,303460
salamanca,hombres,2009,173512
cordoba,hombres,2009,395225
asturias,mujeres,2009,564373
almeria,mujeres,2009,332031
huelva,hombres,2009,255144
islas baleares,mujeres,2009,544347
cadiz,hombres,2010,612833
leon,hombres,2010,244199
caceres,mujeres,2010,208725
teruel,hombres,2010,74563
rioja,mujeres,2010,160531
lugo,mujeres,2010,181521
cuenca,hombres,2010,110384
valladolid,hombres,2010,262141
ciudad real,mujeres,2010,265355
ciudad real,hombres,2010,264098
toledo,hombres,2010,354101
tarragona,mujeres,2010,399379
huesca,mujeres,2010,112042
pontevedra,hombres,2010,465900
cantabria,mujeres,2010,302319
jaen,mujeres,2010,337861
lerida,mujeres,2010,215371
valladolid,mujeres,2010,271499
lerida,hombres,2010,224397
cordoba,mujeres,2010,409538
castellon,hombres,2010,303490
las palmas,mujeres,2010,541906
cordoba,hombres,2010,395570
valencia,mujeres,2010,1303421
huesca,hombres,2010,116524
valencia,hombres,2010,1277726
cantabria,hombres,2010,289931
granada,hombres,2010,453734
lugo,hombres,2010,171983
cuenca,mujeres,2010,107332
zamora,hombres,2010,96427
tarragona,hombres,2010,409041
guadalajara,mujeres,2010,122393
albacete,hombres,2010,201396
castellon,mujeres,2010,300784
cadiz,mujeres,2010,623906
rioja,hombres,2010,161884
jaen,hombres,2010,332900
coruña,hombres,2010,551318
almeria,hombres,2010,358112
leon,mujeres,2010,255085
soria,mujeres,2010,46858
santa cruz de tenerife,mujeres,2010,517907
coruña,mujeres,2010,595140
barcelona,hombres,2010,2710304
almeria,mujeres,2010,337448
zaragoza,mujeres,2010,491162
murcia,hombres,2010,738627
gerona,hombres,2010,380773
orense,mujeres,2010,173873
barcelona,mujeres,2010,2800843
alicante,hombres,2010,961733
melilla,hombres,2010,38819
sevilla,mujeres,2010,976681
vizcaya,hombres,2010,559359
sevilla,hombres,2010,940416
malaga,mujeres,2010,815982
segovia,mujeres,2010,81234
segovia,hombres,2010,83034
salamanca,mujeres,2010,180685
asturias,mujeres,2010,563939
asturias,hombres,2010,520402
avila,hombres,2010,86728
salamanca,hombres,2010,172934
toledo,mujeres,2010,343858
navarra,hombres,2010,318423
pontevedra,mujeres,2010,496572
badajoz,mujeres,2010,348774
cuenca,hombres,2010,41269
alicante,mujeres,2010,964552
las palmas,hombres,2010,548699
orense,hombres,2010,161346
islas baleares,hombres,2010,555204
cuenca,mujeres,2010,39310
murcia,mujeres,2010,723352
avila,mujeres,2010,85168
guipuzcoa,mujeres,2010,360236
huelva,hombres,2010,257716
granada,mujeres,2010,464338
islas baleares,mujeres,2010,550845
navarra,mujeres,2010,318501
huelva,mujeres,2010,260365
badajoz,hombres,2010,343363
soria,hombres,2010,48400
santa cruz de tenerife,hombres,2010,510007
burgos,mujeres,2010,185372
palencia,hombres,2010,85543
albacete,mujeres,2010,200286
teruel,mujeres,2010,70714
burgos,hombres,2010,189454
gerona,mujeres,2010,372273
alava,hombres,2010,158322
alava,mujeres,2010,159030
guipuzcoa,hombres,2010,347027
guadalajara,hombres,2010,129170
malaga,hombres,2010,793575
caceres,hombres,2010,206358
zaragoza,hombres,2010,482090
zamora,mujeres,2010,97787
madrid,hombres,2010,3124438
vizcaya,mujeres,2010,594365
madrid,mujeres,2010,3334246
palencia,mujeres,2010,86967
melilla,mujeres,2010,37215
valencia,mujeres,2011,1304354
leon,hombres,2011,243316
avila,mujeres,2011,85619
melilla,mujeres,2011,38220
