año,provincia,total_denuncias,tasa_por_1000,mujeres_por_denuncia
2009,alava,740,4.701367843914587,212.70405405405407
2009,albacete,959,4.801506040685129,208.26798748696558
2009,alicante,7757,8.090219980559276,123.60603326028104
2009,almeria,2604,7.842641199165138,127.50806451612902
2009,asturias,2373,4.204666063046957,237.83101559207753
2009,avila,430,5.06120527306968,197.58139534883722
2009,badajoz,1114,3.2116241188935177,311.3689407540395
2009,barcelona,12262,4.403191901172006,227.10797586038169
2009,burgos,798,4.306715886276796,232.19548872180448
2009,caceres,588,2.8269910334383037,353.7329931972789
2009,cadiz,3693,5.950596993280804,168.05036555645816
2009,cantabria,1172,3.900166389351081,256.3993174061434
2009,castellon,1663,5.564832134814165,179.69993986770896
2009,ciudad real,1080,4.08727080061309,244.66203703703707
2009,cordoba,1335,3.2658712781910744,306.19700374531834
2009,coruña,2400,4.036007917302198,247.76958333333332
2009,cuenca,739,6.90131769408205,144.89986468200271
2009,cuenca,739,19.166926029671128,52.17320703653586
2009,gerona,2110,5.7313127965818556,174.48009478672986
2009,granada,3888,8.477163115619087,117.96399176954732
2009,guadalajara,1354,11.326468300109584,88.28877400295421
2009,guipuzcoa,1072,2.9870875339251777,334.7742537313433
2009,huelva,2103,8.142988240487263,122.80504041844983
2009,huesca,371,3.319049195287129,301.29110512129387
2009,islas baleares,4453,8.180443724315555,122.24275769144397
2009,jaen,1634,4.844854936029532,206.4045287637699
2009,las palmas,5163,9.605366949947163,104.1084640712764
2009,leon,839,3.2843615068133865,304.4731823599523
2009,lerida,1068,5.006868035273104,199.7256554307116
2009,lugo,581,3.1878936856660007,313.68674698795184
2009,madrid,20863,6.337373156852036,157.79408522264296
2009,malaga,5168,6.406545386927821,156.09036377708978
2009,melilla,361,9.9679699580296,100.3213296398892
2009,murcia,6085,8.511548990014141,117.4874281018899
2009,navarra,1236,3.9226638569052845,254.9288025889968
2009,orense,619,3.5536317082692266,281.4022617124394
2009,palencia,284,3.2510646091854025,307.59154929577466
2009,pontevedra,2467,4.979824343609899,200.81029590595867
2009,rioja,834,5.2278896000100294,191.2817745803357
2009,salamanca,573,3.1640676768122984,316.04886561954623
2009,santa cruz de tenerife,3819,7.432216781746989,134.54935847080387
2009,segovia,273,3.361323844467975,297.50183150183153
2009,sevilla,5718,5.911403384531724,169.16456803078
2009,soria,171,3.6526754245434154,273.7719298245614
2009,tarragona,2778,7.025849968512659,142.3315334773218
2009,teruel,155,2.1825452702131853,458.18064516129033
2009,toledo,1572,4.636388571833055,215.68511450381678
2009,valencia,9930,7.643612157115102,130.82819738167169
2009,valladolid,1429,5.277152036633554,189.4961511546536
2009,vizcaya,2246,3.78443226776122,264.2404274265361
2009,zamora,293,2.9739852417251145,336.24914675767917
2009,zaragoza,2322,4.749855274650869,210.5327304048234
2010,alava,763,4.7978368861221155,208.4272608125819
2010,albacete,942,4.703274317725652,212.61783439490443
2010,alicante,7146,7.408620789755244,134.97788972851944
2010,almeria,2752,8.155330599084897,122.61918604651162
2010,asturias,2147,3.807149354806105,262.66371681415933
2010,avila,445,5.224967123802367,191.38876404494383
2010,badajoz,1137,3.2599907103167096,306.7493403693931
2010,barcelona,12782,4.563626022593913,219.12400250352056
2010,burgos,653,3.522646354357724,283.87748851454825
2010,caceres,641,3.071026470235956,325.62402496099844
2010,cadiz,3803,6.095469509830006,164.05627136471207
2010,cantabria,1231,4.071857871982905,245.58813972380182
2010,castellon,1908,6.3434225224746,157.64360587002096
2010,ciudad real,1171,4.412956228448682,226.6054654141759
2010,cordoba,1026,2.5052620269669723,399.1598440545809
2010,coruña,1997,3.3555129885405113,298.01702553830745
2010,cuenca,720,6.708157865315097,149.07222222222222
2010,cuenca,720,18.315950139913507,54.59722222222222
2010,gerona,2175,5.842486562280906,171.16
2010,granada,3683,7.931722150674725,126.07602497963616
2010,guadalajara,1552,12.680463752011962,78.86146907216495
2010,guipuzcoa,1025,2.8453569326774666,351.449756097561
2010,huelva,1712,6.57538455629597,152.0823598130841
2010,huesca,334,2.9810249727780653,335.4550898203593
2010,islas baleares,4231,7.6809265764416494,130.19262585677143
2010,jaen,1531,4.531449323834358,220.6799477465709
2010,las palmas,4729,8.726605721287456,114.59209135123706
