año,trimestre,origen_denuncia,provincia,comunidad,total_denuncias
2009,primero,victima,almeria,andalucia,40
2009,primero,familiar,almeria,andalucia,1
2009,primero,policia_victima,almeria,andalucia,419
2009,primero,policia_familiar,almeria,andalucia,7
2009,primero,intervencion_policial_directa,almeria,andalucia,82
2009,primero,parte_lesiones,almeria,andalucia,130
2009,primero,asistencia_terceros,almeria,andalucia,0
2009,segundo,victima,almeria,andalucia,3
2009,segundo,familiar,almeria,andalucia,0
2009,segundo,policia_victima,almeria,andalucia,452
2009,segundo,policia_familiar,almeria,andalucia,47
2009,segundo,intervencion_policial_directa,almeria,andalucia,87
2009,segundo,parte_lesiones,almeria,andalucia,126
2009,segundo,asistencia_terceros,almeria,andalucia,0
2009,tercero,victima,almeria,andalucia,7
2009,tercero,familiar,almeria,andalucia,0
2009,tercero,policia_victima,almeria,andalucia,415
2009,tercero,policia_familiar,almeria,andalucia,16
2009,tercero,intervencion_policial_directa,almeria,andalucia,57
2009,tercero,parte_lesiones,almeria,andalucia,170
2009,tercero,asistencia_terceros,almeria,andalucia,0
2009,cuarto,victima,almeria,andalucia,3
2009,cuarto,familiar,almeria,andalucia,0
2009,cuarto,policia_victima,almeria,andalucia,275
2009,cuarto,policia_familiar,almeria,andalucia,27
2009,cuarto,intervencion_policial_directa,almeria,andalucia,87
2009,cuarto,parte_lesiones,almeria,andalucia,142
2009,cuarto,asistencia_terceros,almeria,andalucia,11
2010,primero,victima,almeria,andalucia,1
2010,primero,familiar,almeria,andalucia,0
2010,primero,policia_victima,almeria,andalucia,463
2010,primero,policia_familiar,almeria,andalucia,15
2010,primero,intervencion_policial_directa,almeria,andalucia,73
2010,primero,parte_lesiones,almeria,andalucia,80
2010,primero,asistencia_terceros,almeria,andalucia,6
2010,segundo,victima,almeria,andalucia,26
2010,segundo,familiar,almeria,andalucia,0
2010,segundo,policia_victima,almeria,andalucia,487
2010,segundo,policia_familiar,almeria,andalucia,0
2010,segundo,intervencion_policial_directa,almeria,andalucia,67
2010,segundo,parte_lesiones,almeria,andalucia,87
2010,segundo,asistencia_terceros,almeria,andalucia,13
2010,tercero,victima,almeria,andalucia,0
2010,tercero,familiar,almeria,andalucia,0
2010,tercero,policia_victima,almeria,andalucia,519
2010,tercero,policia_familiar,almeria,andalucia,15
2010,tercero,intervencion_policial_directa,almeria,andalucia,74
2010,tercero,parte_lesiones,almeria,andalucia,170
2010,tercero,asistencia_terceros,almeria,andalucia,2
2010,cuarto,victima,almeria,andalucia,23
2010,cuarto,familiar,almeria,andalucia,1
2010,cuarto,policia_victima,almeria,andalucia,420
2010,cuarto,policia_familiar,almeria,andalucia,10
2010,cuarto,intervencion_policial_directa,almeria,andalucia,82
2010,cuarto,parte_lesiones,almeria,andalucia,111
2010,cuarto,asistencia_terceros,almeria,andalucia,7
2011,primero,victima,almeria,andalucia,0
2011,primero,familiar,almeria,andalucia,0
2011,primero,policia_victima,almeria,andalucia,532
2011,primero,policia_familiar,almeria,andalucia,2
2011,primero,intervencion_policial_directa,almeria,andalucia,45
2011,primero,parte_lesiones,almeria,andalucia,81
2011,primero,asistencia_terceros,almeria,andalucia,17
2011,segundo,victima,almeria,andalucia,0
2011,segundo,familiar,almeria,andalucia,0
2011,segundo,policia_victima,almeria,andalucia,490
2011,segundo,policia_familiar,almeria,andalucia,4
2011,segundo,intervencion_policial_directa,almeria,andalucia,30
2011,segundo,parte_lesiones,almeria,andalucia,120
2011,segundo,asistencia_terceros,almeria,andalucia,21
2011,tercero,victima,almeria,andalucia,21
2011,tercero,familiar,almeria,andalucia,0
2011,tercero,policia_victima,almeria,andalucia,322
2011,tercero,policia_familiar,almeria,andalucia,25
2011,tercero,intervencion_policial_directa,almeria,andalucia,80
2011,tercero,parte_lesiones,almeria,andalucia,82
2011,tercero,asistencia_terceros,almeria,andalucia,0
2011,cuarto,victima,almeria,andalucia,26
2011,cuarto,familiar,almeria,andalucia,1
2011,cuarto,policia_victima,almeria,andalucia,324
2011,cuarto,policia_familiar,almeria,andalucia,4
2011,cuarto,intervencion_policial_directa,almeria,andalucia,53
2011,cuarto,parte_lesiones,almeria,andalucia,77
2011,cuarto,asistencia_terceros,almeria,andalucia,0
2012,primero,victima,almeria,andalucia,0
2012,primero,familiar,almeria,andalucia,0
2012,primero,policia_victima,almeria,andalucia,392
2012,primero,policia_familiar,almeria,andalucia,7
2012,primero,intervencion_policial_directa,almeria,andalucia,34
2012,primero,parte_lesiones,almeria,andalucia,69
2012,primero,asistencia_terceros,almeria,andalucia,3
2012,segundo,victima,almeria,andalucia,0
2012,segundo,familiar,almeria,andalucia,0
2012,segundo,policia_victima,almeria,andalucia,474
2012,segundo,policia_familiar,almeria,andalucia,5
2012,segundo,intervencion_policial_directa,almeria,andalucia,44
2012,segundo,parte_lesiones,almeria,andalucia,66
2012,segundo,asistencia_terceros,almeria,andalucia,1
2012,tercero,victima,almeria,andalucia,0
2012,tercero,familiar,almeria,andalucia,0
2012,tercero,policia_victima,almeria,andalucia,405
2012,tercero,policia_familiar,almeria,andalucia,29
2012,tercero,intervencion_policial_directa,almeria,andalucia,76
2012,tercero,parte_lesiones,almeria,andalucia,47
