año,mes,trimestre,provincia,comunidad,total_dispositivos
2009,agosto,tercero,almeria,andalucia,1
2009,septiembre,tercero,almeria,andalucia,1
2009,octubre,cuarto,almeria,andalucia,1
2009,noviembre,cuarto,almeria,andalucia,1
2009,diciembre,cuarto,almeria,andalucia,1
2010,enero,primero,almeria,andalucia,2
2010,febrero,primero,almeria,andalucia,2
2010,marzo,primero,almeria,andalucia,3
2010,abril,segundo,almeria,andalucia,4
2010,mayo,segundo,almeria,andalucia,4
2010,junio,segundo,almeria,andalucia,5
2010,julio,tercero,almeria,andalucia,5
2010,agosto,tercero,almeria,andalucia,5
2010,septiembre,tercero,almeria,andalucia,5
2010,octubre,cuarto,almeria,andalucia,6
2010,noviembre,cuarto,almeria,andalucia,6
2010,diciembre,cuarto,almeria,andalucia,7
2011,enero,primero,almeria,andalucia,7
2011,febrero,primero,almeria,andalucia,7
2011,marzo,primero,almeria,andalucia,8
2011,abril,segundo,almeria,andalucia,9
2011,mayo,segundo,almeria,andalucia,9
2011,junio,segundo,almeria,andalucia,10
2011,julio,tercero,almeria,andalucia,10
2011,agosto,tercero,almeria,andalucia,10
2011,septiembre,tercero,almeria,andalucia,10
2011,octubre,cuarto,almeria,andalucia,11
2011,noviembre,cuarto,almeria,andalucia,15
2011,diciembre,cuarto,almeria,andalucia,15
2012,enero,primero,almeria,andalucia,18
2012,febrero,primero,almeria,andalucia,18
2012,marzo,primero,almeria,andalucia,21
2012,abril,segundo,almeria,andalucia,21
2012,mayo,segundo,almeria,andalucia,22
2012,junio,segundo,almeria,andalucia,23
2012,julio,tercero,almeria,andalucia,24
2012,agosto,tercero,almeria,andalucia,26
2012,septiembre,tercero,almeria,andalucia,26
2012,octubre,cuarto,almeria,andalucia,28
2012,noviembre,cuarto,almeria,andalucia,31
2012,diciembre,cuarto,almeria,andalucia,33
2013,enero,primero,almeria,andalucia,34
2013,febrero,primero,almeria,andalucia,34
2013,marzo,primero,almeria,andalucia,34
2013,abril,segundo,almeria,andalucia,35
2013,mayo,segundo,almeria,andalucia,36
2013,junio,segundo,almeria,andalucia,38
2013,julio,tercero,almeria,andalucia,40
2013,agosto,tercero,almeria,andalucia,40
2013,septiembre,tercero,almeria,andalucia,40
2013,octubre,cuarto,almeria,andalucia,41
2013,noviembre,cuarto,almeria,andalucia,43
2013,diciembre,cuarto,almeria,andalucia,43
2014,enero,primero,almeria,andalucia,43
2014,febrero,primero,almeria,andalucia,44
2014,marzo,primero,almeria,andalucia,44
2014,abril,segundo,almeria,andalucia,47
2014,mayo,segundo,almeria,andalucia,48
2014,junio,segundo,almeria,andalucia,48
2014,julio,tercero,almeria,andalucia,50
2014,agosto,tercero,almeria,andalucia,52
2014,septiembre,tercero,almeria,andalucia,57
2014,octubre,cuarto,almeria,andalucia,58
2014,noviembre,cuarto,almeria,andalucia,59
2014,diciembre,cuarto,almeria,andalucia,61
2015,enero,primero,almeria,andalucia,62
2015,febrero,primero,almeria,andalucia,64
2015,marzo,primero,almeria,andalucia,65
2015,abril,segundo,almeria,andalucia,66
2015,mayo,segundo,almeria,andalucia,67
2015,junio,segundo,almeria,andalucia,71
2015,julio,tercero,almeria,andalucia,76
2015,agosto,tercero,almeria,andalucia,78
2015,septiembre,tercero,almeria,andalucia,79
2015,octubre,cuarto,almeria,andalucia,85
2015,noviembre,cuarto,almeria,andalucia,87
2015,diciembre,cuarto,almeria,andalucia,90
2016,enero,primero,almeria,andalucia,95
2016,febrero,primero,almeria,andalucia,97
2016,marzo,primero,almeria,andalucia,98
2016,abril,segundo,almeria,andalucia,98
2016,mayo,segundo,almeria,andalucia,99
2016,junio,segundo,almeria,andalucia,106
2016,julio,tercero,almeria,andalucia,106
2016,agosto,tercero,almeria,andalucia,108
2016,septiembre,tercero,almeria,andalucia,111
2016,octubre,cuarto,almeria,andalucia,113
2016,noviembre,cuarto,almeria,andalucia,119
2016,diciembre,cuarto,almeria,andalucia,121
2017,enero,primero,almeria,andalucia,122
2017,febrero,primero,almeria,andalucia,129
2017,marzo,primero,almeria,andalucia,139
2017,abril,segundo,almeria,andalucia,141
2017,mayo,segundo,almeria,andalucia,144
2017,junio,segundo,almeria,andalucia,148
2017,julio,tercero,almeria,andalucia,153
2017,agosto,tercero,almeria,andalucia,154
2017,septiembre,tercero,almeria,andalucia,159
2017,octubre,cuarto,almeria,andalucia,163
2017,noviembre,cuarto,almeria,andalucia,168
2017,diciembre,cuarto,almeria,andalucia,171
2018,enero,primero,almeria,andalucia,175
2018,febrero,primero,almeria,andalucia,178
2018,marzo,primero,almeria,andalucia,186
2018,abril,segundo,almeria,andalucia,189
2018,mayo,segundo,almeria,andalucia,195
2018,junio,segundo,almeria,andalucia,199
2018,julio,tercero,almeria,andalucia,208
2018,agosto,tercero,almeria,andalucia,213
2018,septiembre,tercero,almeria,andalucia,216
2018,octubre,cuarto,almeria,andalucia,221
2018,noviembre,cuarto,almeria,andalucia,227
2018,diciembre,cuarto,almeria,andalucia,233
2019,enero,primero,almeria,andalucia,236
2019,febrero,primero,almeria,andalucia,246
2019,marzo,primero,almeria,andalucia,251
2019,abril,segundo,almeria,andalucia,257
2019,mayo,segundo,almeria,andalucia,263
2019,junio,segundo,almeria,andalucia,273
2019,julio,tercero,almeria,andalucia,279
2019,agosto,tercero,almeria,andalucia,287
2019,septiembre,tercero,almeria,andalucia,301
2019,octubre,cuarto,almeria,andalucia,316
2019,noviembre,cuarto,almeria,andalucia,329
2019,diciembre,cuarto,almeria,andalucia,341
2020,enero,primero,almeria,andalucia,350
2020,febrero,primero,almeria,andalucia,365
2020,marzo,primero,almeria,andalucia,372
2020,abril,segundo,almeria,andalucia,377
2020,mayo,segundo,almeria,andalucia,384
2020,junio,segundo,almeria,andalucia,402
2020,julio,tercero,almeria,andalucia,416
2020,agosto,tercero,almeria,andalucia,428
2020,septiembre,tercero,almeria,andalucia,446
2020,octubre,cuarto,almeria,andalucia,455
2020,noviembre,cuarto,almeria,andalucia,475
2020,diciembre,cuarto,almeria,andalucia,484
2021,enero,primero,almeria,andalucia,493
2021,febrero,primero,almeria,andalucia,502
2021,marzo,primero,almeria,andalucia,512
2021,abril,segundo,almeria,andalucia,524
2021,mayo,segundo,almeria,andalucia,535
2021,junio,segundo,almeria,andalucia,550
2021,julio,tercero,almeria,andalucia,564
2021,agosto,tercero,almeria,andalucia,575
2021,septiembre,tercero,almeria,andalucia,585
2021,octubre,cuarto,almeria,andalucia,601
2021,noviembre,cuarto,almeria,andalucia,609
2021,diciembre,cuarto,almeria,andalucia,624
2022,enero,primero,almeria,andalucia,639
2022,febrero,primero,almeria,andalucia,655
2022,marzo,primero,almeria,andalucia,662
2022,abril,segundo,almeria,andalucia,673
2022,mayo,segundo,almeria,andalucia,686
2022,junio,segundo,almeria,andalucia,692
2022,julio,tercero,almeria,andalucia,706
2022,agosto,tercero,almeria,andalucia,711
2022,septiembre,tercero,almeria,andalucia,722
2022,octubre,cuarto,almeria,andalucia,733
2022,noviembre,cuarto,almeria,andalucia,741
2022,diciembre,cuarto,almeria,andalucia,747
2023,enero,primero,almeria,andalucia,757
2023,febrero,primero,almeria,andalucia,768
2023,marzo,primero,almeria,andalucia,784
2023,abril,segundo,almeria,andalucia,801
2023,mayo,segundo,almeria,andalucia,822
2023,junio,segundo,almeria,andalucia,843
2023,julio,tercero,almeria,andalucia,869
2023,agosto,tercero,almeria,andalucia,888
2023,septiembre,tercero,almeria,andalucia,914
2009,agosto,tercero,cadiz,andalucia,1
2009,septiembre,tercero,cadiz,andalucia,1
2009,octubre,cuarto,cadiz,andalucia,1
2009,noviembre,cuarto,cadiz,andalucia,1
2009,diciembre,cuarto,cadiz,andalucia,1
2010,enero,primero,cadiz,andalucia,2
2010,febrero,primero,cadiz,andalucia,4
2010,marzo,primero,cadiz,andalucia,6
2010,abril,segundo,cadiz,andalucia,7
2010,mayo,segundo,cadiz,andalucia,7
2010,junio,segundo,cadiz,andalucia,8
2010,julio,tercero,cadiz,andalucia,9
2010,agosto,tercero,cadiz,andalucia,10
2010,septiembre,tercero,cadiz,andalucia,11
2010,octubre,cuarto,cadiz,andalucia,12
2010,noviembre,cuarto,cadiz,andalucia,12
2010,diciembre,cuarto,cadiz,andalucia,12
2011,enero,primero,cadiz,andalucia,12
2011,febrero,primero,cadiz,andalucia,12
2011,marzo,primero,cadiz,andalucia,13
2011,abril,segundo,cadiz,andalucia,14
2011,mayo,segundo,cadiz,andalucia,17
2011,junio,segundo,cadiz,andalucia,18
2011,julio,tercero,cadiz,andalucia,18
2011,agosto,tercero,cadiz,andalucia,18
2011,septiembre,tercero,cadiz,andalucia,20
2011,octubre,cuarto,cadiz,andalucia,21
2011,noviembre,cuarto,cadiz,andalucia,21
2011,diciembre,cuarto,cadiz,andalucia,22
2012,enero,primero,cadiz,andalucia,23
2012,febrero,primero,cadiz,andalucia,24
2012,marzo,primero,cadiz,andalucia,24
2012,abril,segundo,cadiz,andalucia,24
2012,mayo,segundo,cadiz,andalucia,25
2012,junio,segundo,cadiz,andalucia,26
2012,julio,tercero,cadiz,andalucia,28
2012,agosto,tercero,cadiz,andalucia,28
2012,septiembre,tercero,cadiz,andalucia,28
2012,octubre,cuarto,cadiz,andalucia,28
2012,noviembre,cuarto,cadiz,andalucia,29
2012,diciembre,cuarto,cadiz,andalucia,31
2013,enero,primero,cadiz,andalucia,32
2013,febrero,primero,cadiz,andalucia,32
2013,marzo,primero,cadiz,andalucia,32
2013,abril,segundo,cadiz,andalucia,32
2013,mayo,segundo,cadiz,andalucia,33
2013,junio,segundo,cadiz,andalucia,35
2013,julio,tercero,cadiz,andalucia,35
2013,agosto,tercero,cadiz,andalucia,36
2013,septiembre,tercero,cadiz,andalucia,36
2013,octubre,cuarto,cadiz,andalucia,37
2013,noviembre,cuarto,cadiz,andalucia,38
2013,diciembre,cuarto,cadiz,andalucia,39
2014,enero,primero,cadiz,andalucia,39
2014,febrero,primero,cadiz,andalucia,41
2014,marzo,primero,cadiz,andalucia,41
2014,abril,segundo,cadiz,andalucia,41
2014,mayo,segundo,cadiz,andalucia,42
2014,junio,segundo,cadiz,andalucia,42
2014,julio,tercero,cadiz,andalucia,42
2014,agosto,tercero,cadiz,andalucia,44
2014,septiembre,tercero,cadiz,andalucia,44
2014,octubre,cuarto,cadiz,andalucia,46
2014,noviembre,cuarto,cadiz,andalucia,47
2014,diciembre,cuarto,cadiz,andalucia,49
2015,enero,primero,cadiz,andalucia,50
2015,febrero,primero,cadiz,andalucia,50
2015,marzo,primero,cadiz,andalucia,50
2015,abril,segundo,cadiz,andalucia,51
2015,mayo,segundo,cadiz,andalucia,53
2015,junio,segundo,cadiz,andalucia,55
2015,julio,tercero,cadiz,andalucia,57
2015,agosto,tercero,cadiz,andalucia,59
2015,septiembre,tercero,cadiz,andalucia,62
2015,octubre,cuarto,cadiz,andalucia,62
2015,noviembre,cuarto,cadiz,andalucia,64
2015,diciembre,cuarto,cadiz,andalucia,66
2016,enero,primero,cadiz,andalucia,71
2016,febrero,primero,cadiz,andalucia,73
2016,marzo,primero,cadiz,andalucia,75
2016,abril,segundo,cadiz,andalucia,76
2016,mayo,segundo,cadiz,andalucia,79
2016,junio,segundo,cadiz,andalucia,82
2016,julio,tercero,cadiz,andalucia,85
2016,agosto,tercero,cadiz,andalucia,86
2016,septiembre,tercero,cadiz,andalucia,88
2016,octubre,cuarto,cadiz,andalucia,90
2016,noviembre,cuarto,cadiz,andalucia,94
2016,diciembre,cuarto,cadiz,andalucia,97
2017,enero,primero,cadiz,andalucia,98
2017,febrero,primero,cadiz,andalucia,99
2017,marzo,primero,cadiz,andalucia,102
2017,abril,segundo,cadiz,andalucia,104
2017,mayo,segundo,cadiz,andalucia,104
2017,junio,segundo,cadiz,andalucia,107
2017,julio,tercero,cadiz,andalucia,108
