trimestre,provincia,total_festivos
cuarto,albacete,5
cuarto,alicante,4
cuarto,almeria,5
cuarto,avila,5
cuarto,badajoz,5
cuarto,barcelona,5
cuarto,avila,4
cuarto,burgos,5
cuarto,caceres,5
cuarto,cadiz,5
cuarto,castellon,4
cuarto,cuenca,4
cuarto,ciudad real,5
cuarto,cordoba,5
cuarto,coruña,4
cuarto,cuenca,5
cuarto,gerona,5
cuarto,granada,5
cuarto,guadalajara,5
cuarto,huelva,5
cuarto,huesca,5
cuarto,jaen,5
cuarto,leon,5
cuarto,lerida,5
cuarto,gerona,5
cuarto,lugo,4
cuarto,madrid,5
cuarto,malaga,5
cuarto,melilla,5
cuarto,murcia,5
cuarto,orense,4
cuarto,toledo,5
cuarto,palencia,5
cuarto,palencia,5
cuarto,las palmas,6
cuarto,palencia,5
cuarto,pontevedra,4
cuarto,santa cruz de tenerife,5
cuarto,salamanca,5
cuarto,asturias,4
cuarto,cantabria,5
cuarto,segovia,5
cuarto,sevilla,5
cuarto,soria,5
cuarto,tarragona,5
cuarto,teruel,5
cuarto,toledo,5
cuarto,valencia,4
cuarto,valladolid,5
cuarto,lugo,4
cuarto,soria,4
cuarto,zamora,5
cuarto,zaragoza,5
primero,albacete,2
primero,alicante,3
primero,almeria,3
primero,avila,2
primero,badajoz,2
primero,barcelona,2
primero,avila,2
primero,burgos,2
primero,caceres,2
primero,cadiz,3
primero,castellon,3
primero,cuenca,2
primero,ciudad real,2
primero,cordoba,3
primero,coruña,2
primero,cuenca,2
primero,gerona,2
primero,granada,3
primero,guadalajara,2
primero,huelva,3
primero,huesca,2
primero,jaen,3
primero,leon,2
primero,lerida,2
primero,gerona,2
primero,lugo,2
primero,madrid,2
primero,malaga,3
primero,melilla,2
primero,murcia,2
primero,orense,2
primero,toledo,2
primero,palencia,3
primero,palencia,2
primero,las palmas,2
primero,palencia,2
primero,pontevedra,2
primero,santa cruz de tenerife,3
primero,salamanca,2
primero,asturias,2
primero,cantabria,2
primero,segovia,2
primero,sevilla,3
primero,soria,2
primero,tarragona,2
primero,teruel,2
primero,toledo,2
primero,valencia,3
primero,valladolid,2
primero,lugo,2
primero,soria,2
primero,zamora,2
primero,zaragoza,2
segundo,albacete,4
segundo,alicante,4
segundo,almeria,3
segundo,avila,4
segundo,badajoz,3
segundo,barcelona,4
segundo,avila,3
segundo,burgos,4
segundo,caceres,3
segundo,cadiz,3
segundo,castellon,4
segundo,cuenca,2
segundo,ciudad real,4
segundo,cordoba,3
segundo,coruña,4
segundo,cuenca,4
segundo,gerona,4
segundo,granada,3
segundo,guadalajara,4
segundo,huelva,3
segundo,huesca,4
segundo,jaen,3
segundo,leon,4
segundo,lerida,4
segundo,gerona,4
segundo,lugo,4
segundo,madrid,3
segundo,malaga,3
segundo,melilla,3
segundo,murcia,4
segundo,orense,4
segundo,toledo,3
segundo,palencia,3
segundo,palencia,4
segundo,las palmas,3
segundo,palencia,3
segundo,pontevedra,4
segundo,santa cruz de tenerife,3
segundo,salamanca,4
segundo,asturias,3
segundo,cantabria,2
segundo,segovia,4
segundo,sevilla,3
segundo,soria,4
segundo,tarragona,4
segundo,teruel,4
segundo,toledo,4
segundo,valencia,4
segundo,valladolid,4
segundo,lugo,4
segundo,soria,3
segundo,zamora,4
segundo,zaragoza,4
tercero,albacete,1
tercero,alicante,1
tercero,almeria,1
tercero,avila,1
tercero,badajoz,2
tercero,barcelona,1
tercero,avila,3
tercero,burgos,1
tercero,caceres,2
tercero,cadiz,1
tercero,castellon,1
tercero,cuenca,4
tercero,ciudad real,1
tercero,cordoba,1
tercero,coruña,2
tercero,cuenca,1
tercero,gerona,1
tercero,granada,1
tercero,guadalajara,1
tercero,huelva,1
tercero,huesca,1
tercero,jaen,1
tercero,leon,1
tercero,lerida,1
tercero,gerona,1
tercero,lugo,2
tercero,madrid,2
tercero,malaga,1
tercero,melilla,2
tercero,murcia,1
tercero,orense,2
tercero,toledo,2
tercero,palencia,1
tercero,palencia,1
tercero,las palmas,1
tercero,palencia,2
tercero,pontevedra,2
tercero,santa cruz de tenerife,1
tercero,salamanca,1
tercero,asturias,3
tercero,cantabria,3
tercero,segovia,1
tercero,sevilla,1
tercero,soria,1
tercero,tarragona,1
tercero,teruel,1
tercero,toledo,1
tercero,valencia,1
tercero,valladolid,1
tercero,lugo,2
tercero,soria,3
tercero,zamora,1
tercero,zaragoza,1
