año,trimestre,provincia,total_llamadas,total_denuncias,total_victimas_mortales
2009,cuarto,alava,54,194.0,0
2009,cuarto,albacete,97,237.0,0
2009,cuarto,alicante,639,1813.0,1
2009,cuarto,almeria,204,545.0,1
2009,cuarto,asturias,384,505.0,0
2009,cuarto,avila,38,87.0,0
2009,cuarto,badajoz,257,288.0,0
2009,cuarto,barcelona,1812,3152.0,0
2009,cuarto,burgos,109,198.0,0
2009,cuarto,caceres,103,101.0,0
2009,cuarto,cadiz,365,860.0,0
2009,cuarto,cantabria,222,293.0,0
2009,cuarto,castellon,187,380.0,0
2009,cuarto,ciudad real,148,245.0,0
2009,cuarto,cordoba,222,200.0,1
2009,cuarto,coruña,364,588.0,0
2009,cuarto,cuenca,56,166.0,0
2009,cuarto,gerona,128,488.0,0
2009,cuarto,granada,310,774.0,0
2009,cuarto,guadalajara,84,381.0,0
2009,cuarto,guipuzcoa,105,204.0,0
2009,cuarto,huelva,144,407.0,1
2009,cuarto,huesca,43,85.0,0
2009,cuarto,islas baleares,318,1016.0,1
2009,cuarto,jaen,179,345.0,0
2009,cuarto,las palmas,704,1334.0,0
2009,cuarto,leon,158,173.0,0
2009,cuarto,lerida,81,248.0,0
2009,cuarto,lugo,44,101.0,0
2009,cuarto,madrid,3985,4994.0,1
2009,cuarto,malaga,542,1025.0,2
2009,cuarto,melilla,34,81.0,0
2009,cuarto,murcia,432,1528.0,0
2009,cuarto,navarra,217,335.0,0
2009,cuarto,orense,66,125.0,0
2009,cuarto,palencia,32,67.0,0
2009,cuarto,pontevedra,237,652.0,0
2009,cuarto,rioja,66,174.0,1
2009,cuarto,salamanca,103,130.0,0
2009,cuarto,santa cruz de tenerife,604,946.0,0
2009,cuarto,segovia,54,60.0,0
2009,cuarto,sevilla,787,1360.0,0
2009,cuarto,soria,38,32.0,0
2009,cuarto,tarragona,236,634.0,2
2009,cuarto,teruel,20,36.0,0
2009,cuarto,toledo,238,369.0,0
2009,cuarto,valencia,940,2404.0,1
2009,cuarto,valladolid,210,232.0,0
2009,cuarto,vizcaya,304,503.0,0
2009,cuarto,zamora,54,66.0,0
2009,cuarto,zaragoza,280,470.0,0
2009,primero,alava,54,191.0,0
2009,primero,albacete,95,246.0,0
2009,primero,alicante,592,1895.0,0
2009,primero,almeria,234,679.0,0
2009,primero,asturias,368,529.0,0
2009,primero,avila,50,118.0,0
2009,primero,badajoz,231,253.0,0
2009,primero,barcelona,1824,2994.0,0
2009,primero,burgos,124,234.0,0
2009,primero,caceres,135,216.0,0
2009,primero,cadiz,356,811.0,0
2009,primero,cantabria,240,280.0,0
2009,primero,castellon,157,338.0,1
2009,primero,ciudad real,164,265.0,0
2009,primero,cordoba,170,354.0,0
2009,primero,coruña,366,528.0,0
2009,primero,cuenca,87,162.0,0
2009,primero,gerona,144,522.0,0
2009,primero,granada,283,1029.0,1
2009,primero,guadalajara,58,319.0,0
2009,primero,guipuzcoa,121,310.0,0
2009,primero,huelva,134,583.0,1
2009,primero,huesca,57,91.0,0
2009,primero,islas baleares,377,1142.0,0
2009,primero,jaen,188,440.0,0
2009,primero,las palmas,545,1222.0,0
2009,primero,leon,155,239.0,0
2009,primero,lerida,84,229.0,0
2009,primero,lugo,109,135.0,0
2009,primero,madrid,4083,5429.0,2
2009,primero,malaga,543,1665.0,1
2009,primero,melilla,55,85.0,0
2009,primero,murcia,550,1388.0,0
2009,primero,navarra,194,258.0,0
2009,primero,orense,67,198.0,0
2009,primero,palencia,46,80.0,0
2009,primero,pontevedra,277,560.0,0
2009,primero,rioja,106,232.0,0
2009,primero,salamanca,115,156.0,0
2009,primero,santa cruz de tenerife,503,873.0,1
