año,trimestre,llamante,provincia,comunidad,total_llamadas
2007,tercero,usuaria,almeria,andalucia,3
2007,tercero,familiar,almeria,andalucia,0
2007,tercero,desconocido,almeria,andalucia,0
2007,cuarto,usuaria,almeria,andalucia,150
2007,cuarto,familiar,almeria,andalucia,27
2007,cuarto,desconocido,almeria,andalucia,1
2008,primero,usuaria,almeria,andalucia,215
2008,primero,familiar,almeria,andalucia,41
2008,primero,desconocido,almeria,andalucia,4
2008,segundo,usuaria,almeria,andalucia,153
2008,segundo,familiar,almeria,andalucia,35
2008,segundo,desconocido,almeria,andalucia,8
2008,tercero,usuaria,almeria,andalucia,191
2008,tercero,familiar,almeria,andalucia,58
2008,tercero,desconocido,almeria,andalucia,5
2008,cuarto,usuaria,almeria,andalucia,177
2008,cuarto,familiar,almeria,andalucia,41
2008,cuarto,desconocido,almeria,andalucia,8
2009,primero,usuaria,almeria,andalucia,185
2009,primero,familiar,almeria,andalucia,45
2009,primero,desconocido,almeria,andalucia,4
2009,segundo,usuaria,almeria,andalucia,151
2009,segundo,familiar,almeria,andalucia,32
2009,segundo,desconocido,almeria,andalucia,6
2009,tercero,usuaria,almeria,andalucia,154
2009,tercero,familiar,almeria,andalucia,48
2009,tercero,desconocido,almeria,andalucia,5
2009,cuarto,usuaria,almeria,andalucia,125
2009,cuarto,familiar,almeria,andalucia,74
2009,cuarto,desconocido,almeria,andalucia,5
2010,primero,usuaria,almeria,andalucia,115
2010,primero,familiar,almeria,andalucia,52
2010,primero,desconocido,almeria,andalucia,2
2010,segundo,usuaria,almeria,andalucia,154
2010,segundo,familiar,almeria,andalucia,66
2010,segundo,desconocido,almeria,andalucia,7
2010,tercero,usuaria,almeria,andalucia,150
2010,tercero,familiar,almeria,andalucia,64
2010,tercero,desconocido,almeria,andalucia,5
2010,cuarto,usuaria,almeria,andalucia,137
2010,cuarto,familiar,almeria,andalucia,63
2010,cuarto,desconocido,almeria,andalucia,6
2011,primero,usuaria,almeria,andalucia,146
2011,primero,familiar,almeria,andalucia,47
2011,primero,desconocido,almeria,andalucia,4
2011,segundo,usuaria,almeria,andalucia,162
2011,segundo,familiar,almeria,andalucia,58
2011,segundo,desconocido,almeria,andalucia,4
2011,tercero,usuaria,almeria,andalucia,180
2011,tercero,familiar,almeria,andalucia,77
2011,tercero,desconocido,almeria,andalucia,9
2011,cuarto,usuaria,almeria,andalucia,173
2011,cuarto,familiar,almeria,andalucia,48
2011,cuarto,desconocido,almeria,andalucia,4
2012,primero,usuaria,almeria,andalucia,132
2012,primero,familiar,almeria,andalucia,51
2012,primero,desconocido,almeria,andalucia,3
2012,segundo,usuaria,almeria,andalucia,125
2012,segundo,familiar,almeria,andalucia,43
2012,segundo,desconocido,almeria,andalucia,4
2012,tercero,usuaria,almeria,andalucia,139
2012,tercero,familiar,almeria,andalucia,38
2012,tercero,desconocido,almeria,andalucia,4
2012,cuarto,usuaria,almeria,andalucia,96
2012,cuarto,familiar,almeria,andalucia,31
2012,cuarto,desconocido,almeria,andalucia,1
2013,primero,usuaria,almeria,andalucia,98
2013,primero,familiar,almeria,andalucia,35
2013,primero,desconocido,almeria,andalucia,2
2013,segundo,usuaria,almeria,andalucia,104
2013,segundo,familiar,almeria,andalucia,80
2013,segundo,desconocido,almeria,andalucia,8
2013,tercero,usuaria,almeria,andalucia,121
2013,tercero,familiar,almeria,andalucia,61
2013,tercero,desconocido,almeria,andalucia,6
2013,cuarto,desconocido,almeria,andalucia,0
2013,cuarto,usuaria,almeria,andalucia,130
2013,cuarto,familiar,almeria,andalucia,65
2013,cuarto,desconocido,almeria,andalucia,2
2014,primero,desconocido,almeria,andalucia,0
2014,primero,usuaria,almeria,andalucia,173
2014,primero,familiar,almeria,andalucia,63
2014,primero,desconocido,almeria,andalucia,7
2014,segundo,desconocido,almeria,andalucia,0
2014,segundo,usuaria,almeria,andalucia,153
2014,segundo,familiar,almeria,andalucia,65
2014,segundo,desconocido,almeria,andalucia,16
2014,tercero,desconocido,almeria,andalucia,0
2014,tercero,usuaria,almeria,andalucia,178
2014,tercero,familiar,almeria,andalucia,83
2014,tercero,desconocido,almeria,andalucia,12
2014,cuarto,desconocido,almeria,andalucia,0
2014,cuarto,usuaria,almeria,andalucia,175
2014,cuarto,familiar,almeria,andalucia,65
2014,cuarto,desconocido,almeria,andalucia,6
2015,primero,desconocido,almeria,andalucia,1
2015,primero,usuaria,almeria,andalucia,156
2015,primero,familiar,almeria,andalucia,45
2015,primero,desconocido,almeria,andalucia,7
2015,segundo,desconocido,almeria,andalucia,0
2015,segundo,usuaria,almeria,andalucia,207
2015,segundo,familiar,almeria,andalucia,75
2015,segundo,desconocido,almeria,andalucia,3
2015,tercero,desconocido,almeria,andalucia,1
2015,tercero,usuaria,almeria,andalucia,216
2015,tercero,familiar,almeria,andalucia,90
2015,tercero,desconocido,almeria,andalucia,6
2015,cuarto,desconocido,almeria,andalucia,0
2015,cuarto,usuaria,almeria,andalucia,246
2015,cuarto,familiar,almeria,andalucia,75
2015,cuarto,desconocido,almeria,andalucia,9
2016,primero,desconocido,almeria,andalucia,1
2016,primero,usuaria,almeria,andalucia,195
2016,primero,familiar,almeria,andalucia,70
2016,primero,desconocido,almeria,andalucia,10
2016,segundo,desconocido,almeria,andalucia,0
2016,segundo,usuaria,almeria,andalucia,178
2016,segundo,familiar,almeria,andalucia,67
2016,segundo,desconocido,almeria,andalucia,8
2016,tercero,desconocido,almeria,andalucia,2
2016,tercero,usuaria,almeria,andalucia,236
2016,tercero,familiar,almeria,andalucia,107
2016,tercero,desconocido,almeria,andalucia,13
2016,cuarto,desconocido,almeria,andalucia,2
2016,cuarto,usuaria,almeria,andalucia,142
2016,cuarto,familiar,almeria,andalucia,69
2016,cuarto,desconocido,almeria,andalucia,8
2017,primero,desconocido,almeria,andalucia,0
2017,primero,usuaria,almeria,andalucia,150
2017,primero,familiar,almeria,andalucia,88
2017,primero,desconocido,almeria,andalucia,6
2017,segundo,desconocido,almeria,andalucia,0
2017,segundo,usuaria,almeria,andalucia,153
2017,segundo,familiar,almeria,andalucia,67
2017,segundo,desconocido,almeria,andalucia,4
2017,tercero,desconocido,almeria,andalucia,0
2017,tercero,usuaria,almeria,andalucia,168
2017,tercero,familiar,almeria,andalucia,63
2017,tercero,desconocido,almeria,andalucia,7
2017,cuarto,desconocido,almeria,andalucia,3
2017,cuarto,usuaria,almeria,andalucia,113
2017,cuarto,familiar,almeria,andalucia,67
2017,cuarto,desconocido,almeria,andalucia,7
2018,primero,desconocido,almeria,andalucia,1
2018,primero,usuaria,almeria,andalucia,138
2018,primero,familiar,almeria,andalucia,64
2018,primero,desconocido,almeria,andalucia,2
2018,segundo,desconocido,almeria,andalucia,1
2018,segundo,usuaria,almeria,andalucia,175
2018,segundo,familiar,almeria,andalucia,61
