año,trimestre,llamante,almeria,cadiz,cordoba,granada,huelva,jaen,malaga,sevilla,huesca,teruel,zaragoza,asturias,illes balears,las palmas,santa cruz de tenerife,cantabria,avila,burgos,leon,palencia,salamanca,segovia,soria,valladolid,zamora,albacete,ciudad real,cuenca,guadalajara,toledo,barcelona,girona,lleida,tarragona,alicante/alacant,castellon/castello,valencia/valencia,badajoz,caceres,a coruna,lugo,ourense,pontevedra,madrid,murcia,navarra,araba/alava,bizkaia,gipuzkoa,la rioja,ceuta,melilla,no consta
2007,tercero,usuaria,3.0,2.0,7.0,6.0,4.0,0.0,8.0,16.0,1.0,0.0,4.0,5.0,6.0,20.0,6.0,8.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,3.0,1.0,4.0,8.0,2.0,4.0,3.0,4.0,5.0,0.0,2.0,2.0,99.0,6.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,16.0
2007,tercero,familiar,0.0,0.0,3.0,1.0,2.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2007,tercero,desconocido,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2007,cuarto,usuaria,150.0,187.0,155.0,250.0,82.0,131.0,357.0,608.0,37.0,40.0,152.0,248.0,309.0,365.0,298.0,177.0,60.0,65.0,128.0,44.0,80.0,48.0,25.0,159.0,36.0,50.0,93.0,34.0,35.0,180.0,1229.0,90.0,83.0,134.0,498.0,102.0,592.0,160.0,78.0,317.0,56.0,64.0,157.0,3368.0,386.0,123.0,62.0,195.0,76.0,49.0,22.0,18.0,123.0
2007,cuarto,familiar,27.0,44.0,26.0,41.0,17.0,17.0,78.0,135.0,8.0,2.0,35.0,51.0,43.0,71.0,49.0,23.0,12.0,10.0,16.0,8.0,25.0,1.0,8.0,22.0,2.0,13.0,23.0,7.0,9.0,36.0,247.0,24.0,15.0,21.0,75.0,21.0,125.0,26.0,19.0,45.0,9.0,1.0,33.0,604.0,61.0,32.0,16.0,38.0,19.0,12.0,2.0,3.0,28.0
2007,cuarto,desconocido,1.0,7.0,6.0,6.0,2.0,4.0,6.0,14.0,3.0,0.0,6.0,6.0,8.0,9.0,7.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,4.0,2.0,1.0,7.0,32.0,0.0,1.0,3.0,10.0,3.0,21.0,8.0,3.0,14.0,4.0,1.0,8.0,93.0,5.0,2.0,4.0,5.0,3.0,1.0,1.0,0.0,18.0
2008,primero,usuaria,215.0,341.0,183.0,303.0,183.0,180.0,551.0,783.0,58.0,20.0,243.0,349.0,353.0,460.0,424.0,225.0,55.0,77.0,171.0,42.0,82.0,39.0,27.0,145.0,59.0,121.0,157.0,58.0,77.0,272.0,1816.0,174.0,96.0,227.0,648.0,128.0,861.0,192.0,148.0,329.0,100.0,71.0,219.0,4173.0,466.0,157.0,52.0,279.0,101.0,84.0,13.0,53.0,91.0
2008,primero,familiar,41.0,69.0,46.0,69.0,23.0,31.0,113.0,127.0,6.0,3.0,65.0,45.0,66.0,94.0,73.0,26.0,8.0,10.0,30.0,8.0,6.0,2.0,1.0,35.0,11.0,15.0,24.0,7.0,14.0,44.0,290.0,25.0,10.0,32.0,109.0,31.0,134.0,44.0,20.0,65.0,9.0,4.0,56.0,719.0,77.0,22.0,13.0,60.0,33.0,18.0,4.0,13.0,10.0
2008,primero,desconocido,4.0,5.0,2.0,9.0,3.0,6.0,12.0,29.0,1.0,0.0,7.0,9.0,10.0,9.0,8.0,4.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,16.0,31.0,4.0,0.0,4.0,20.0,2.0,33.0,3.0,7.0,7.0,1.0,0.0,3.0,95.0,15.0,5.0,1.0,13.0,0.0,3.0,0.0,7.0,8.0
2008,segundo,usuaria,153.0,336.0,150.0,258.0,128.0,124.0,482.0,649.0,47.0,23.0,196.0,268.0,381.0,455.0,414.0,162.0,55.0,51.0,159.0,23.0,72.0,25.0,22.0,151.0,35.0,79.0,99.0,47.0,80.0,195.0,1600.0,139.0,67.0,202.0,577.0,113.0,881.0,183.0,137.0,275.0,98.0,71.0,195.0,3539.0,424.0,159.0,39.0,195.0,82.0,67.0,31.0,32.0,0.0
