año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2009,primero,almeria,andalucia,82
2009,primero,cadiz,andalucia,312
2009,primero,cordoba,andalucia,125
2009,primero,granada,andalucia,163
2009,primero,huelva,andalucia,138
2009,primero,jaen,andalucia,101
2009,primero,malaga,andalucia,379
2009,primero,sevilla,andalucia,509
2009,primero,huesca,aragon,20
2009,primero,teruel,aragon,19
2009,primero,zaragoza,aragon,140
2009,primero,asturias,asturias,191
2009,primero,islas baleares,islas baleares,399
2009,primero,las palmas,canarias,417
2009,primero,santa cruz de tenerife,canarias,340
2009,primero,cantabria,cantabria,111
2009,primero,avila,castilla y leon,35
2009,primero,burgos,castilla y leon,73
2009,primero,leon,castilla y leon,109
2009,primero,palencia,castilla y leon,31
2009,primero,salamanca,castilla y leon,44
2009,primero,segovia,castilla y leon,28
2009,primero,soria,castilla y leon,17
2009,primero,valladolid,castilla y leon,65
2009,primero,zamora,castilla y leon,13
2009,primero,albacete,castilla la mancha,86
2009,primero,ciudad real,castilla la mancha,105
2009,primero,cuenca,castilla la mancha,47
2009,primero,guadalajara,castilla la mancha,68
2009,primero,toledo,castilla la mancha,176
2009,primero,barcelona,cataluña,1147
2009,primero,gerona,cataluña,219
2009,primero,lerida,cataluña,135
2009,primero,tarragona,cataluña,260
2009,primero,alicante,comunidad valenciana,608
2009,primero,castellon,comunidad valenciana,135
2009,primero,valencia,comunidad valenciana,420
2009,primero,badajoz,extremadura,104
2009,primero,caceres,extremadura,56
2009,primero,coruña,galicia,99
2009,primero,lugo,galicia,42
2009,primero,orense,galicia,63
2009,primero,pontevedra,galicia,129
2009,primero,madrid,madrid,1540
2009,primero,murcia,murcia,466
2009,primero,navarra,navarra,97
2009,primero,alava,pais vasco,49
2009,primero,guipuzcoa,pais vasco,73
2009,primero,vizcaya,pais vasco,125
2009,primero,rioja,la rioja,81
2009,primero,cuenca,castilla la mancha,31
2009,primero,melilla,melilla,4
2009,segundo,almeria,andalucia,89
2009,segundo,cadiz,andalucia,311
2009,segundo,cordoba,andalucia,109
2009,segundo,granada,andalucia,136
2009,segundo,huelva,andalucia,155
2009,segundo,jaen,andalucia,99
2009,segundo,malaga,andalucia,385
2009,segundo,sevilla,andalucia,547
2009,segundo,huesca,aragon,26
2009,segundo,teruel,aragon,17
2009,segundo,zaragoza,aragon,158
2009,segundo,asturias,asturias,217
2009,segundo,islas baleares,islas baleares,383
2009,segundo,las palmas,canarias,470
2009,segundo,santa cruz de tenerife,canarias,303
2009,segundo,cantabria,cantabria,87
2009,segundo,avila,castilla y leon,34
2009,segundo,burgos,castilla y leon,49
2009,segundo,leon,castilla y leon,108
2009,segundo,palencia,castilla y leon,29
2009,segundo,salamanca,castilla y leon,47
2009,segundo,segovia,castilla y leon,31
2009,segundo,soria,castilla y leon,20
2009,segundo,valladolid,castilla y leon,91
2009,segundo,zamora,castilla y leon,20
2009,segundo,albacete,castilla la mancha,87
2009,segundo,ciudad real,castilla la mancha,129
2009,segundo,cuenca,castilla la mancha,56
2009,segundo,guadalajara,castilla la mancha,73
2009,segundo,toledo,castilla la mancha,259
2009,segundo,barcelona,cataluña,1138
2009,segundo,gerona,cataluña,261
2009,segundo,lerida,cataluña,73
2009,segundo,tarragona,cataluña,258
2009,segundo,alicante,comunidad valenciana,665
2009,segundo,castellon,comunidad valenciana,131
2009,segundo,valencia,comunidad valenciana,437
2009,segundo,badajoz,extremadura,124
2009,segundo,caceres,extremadura,47
2009,segundo,coruña,galicia,94
2009,segundo,lugo,galicia,38
2009,segundo,orense,galicia,38
2009,segundo,pontevedra,galicia,148
2009,segundo,madrid,madrid,1687
2009,segundo,murcia,murcia,550
2009,segundo,navarra,navarra,103
2009,segundo,alava,pais vasco,52
2009,segundo,guipuzcoa,pais vasco,91
2009,segundo,vizcaya,pais vasco,153
2009,segundo,rioja,la rioja,73
2009,segundo,cuenca,castilla la mancha,26
2009,segundo,melilla,melilla,5
2009,tercero,almeria,andalucia,102
2009,tercero,cadiz,andalucia,303
2009,tercero,cordoba,andalucia,139
2009,tercero,granada,andalucia,164
2009,tercero,huelva,andalucia,173
2009,tercero,jaen,andalucia,110
2009,tercero,malaga,andalucia,373
2009,tercero,sevilla,andalucia,554
2009,tercero,huesca,aragon,13
2009,tercero,teruel,aragon,11
2009,tercero,zaragoza,aragon,151
